actual,prediction
58.1,23.03
55.5,20.67
53.6,18.9
59.1,20.8
61.02,21.75
62.4,23.2
62.72,22.52
63.22,23.67
58.62,23.72
56.98,19.9
59.28,19.42
60.5,18.75
65.12,19.75
64.42,22.25
64.5,21.22
66.0,23.9
67.52,24.65
70.88,21.0
71.05,18.73
67.0,21.0
72.55,21.68
72.95,23.1
69.42,26.15
69.65,25.62
62.02,24.22
55.92,20.25
52.6,19.2
51.03,19.62
57.52,18.4
55.1,20.92
50.68,20.82
48.6,23.35
48.78,23.6
54.53,20.92
58.45,20.8
60.92,20.62
68.53,19.95
74.18,21.82
73.68,24.65
79.43,24.3
81.88,26.8
87.6,25.02
82.7,22.58
76.75,20.83
76.53,20.52
73.35,25.17
70.0,24.02
66.65,23.85
59.62,24.9
55.38,21.33
56.4,16.8
50.67,19.8
51.12,21.88
48.08,23.85
48.18,23.72
46.32,23.95
47.9,23.63
63.05,22.38
79.22,19.55
112.52,20.0
131.7,23.92
134.32,25.85
128.8,28.92
128.98,28.95
107.75,27.38
118.38,25.9
113.38,22.83
107.9,24.25
98.18,20.55
95.28,18.48
84.72,22.5
79.82,23.05
65.28,25.5
53.78,21.85
47.4,19.4
46.7,20.2
53.58,20.38
54.75,21.65
58.98,23.2
57.78,25.15
55.92,26.78
55.72,21.62
64.43,19.5
80.0,19.32
78.0,22.2
75.62,25.1
78.62,30.4
78.82,33.85
69.98,33.15
67.17,26.65
65.52,24.05
62.8,22.92
65.03,22.45
69.25,23.98
64.85,26.78
60.8,25.6
51.05,25.78
44.35,22.8
46.8,18.7
42.63,21.42
42.72,21.6
46.95,23.7
45.1,26.08
44.97,25.12
43.45,27.33
38.35,21.65
40.48,21.15
43.75,24.12
49.15,26.6
57.4,31.48
56.7,35.83
59.9,32.88
63.68,35.78
58.0,34.18
61.88,27.85
57.32,23.9
56.47,23.48
51.6,23.28
55.58,27.72
50.8,23.6
46.25,26.57
42.95,24.88
43.8,20.6
46.33,20.82
42.4,21.62
44.48,22.1
46.75,23.4
51.52,26.6
55.03,27.92
52.47,23.78
56.3,20.72
68.5,21.35
80.38,23.02
82.25,23.28
80.7,25.28
74.53,26.22
68.42,29.8
62.45,25.08
66.03,22.62
64.38,21.62
61.32,20.78
60.98,20.52
61.1,23.28
54.85,26.08
50.8,28.72
44.88,23.7
43.3,19.3
44.3,19.55
44.35,17.95
45.38,21.1
45.25,24.05
49.65,27.5
52.25,28.85
53.22,24.98
55.53,20.4
56.32,20.62
58.68,19.08
56.1,21.75
57.53,24.32
58.3,28.75
62.65,30.42
66.85,29.92
76.3,22.25
72.32,19.77
62.6,18.02
76.57,21.52
73.45,26.75
70.97,28.55
70.38,31.05
57.85,30.52
58.63,19.05
57.22,19.32
58.68,20.5
59.92,26.5
63.42,27.8
62.4,29.55
61.05,29.08
66.78,21.0
64.1,21.08
61.25,22.82
58.45,22.2
57.55,20.45
57.72,22.75
60.2,22.12
72.47,24.7
91.7,23.32
96.8,24.8
94.4,26.83
95.72,25.38
88.6,23.35
87.9,21.35
82.52,21.28
76.2,19.45
72.1,12.7
67.33,18.42
73.28,19.9
70.72,17.52
65.7,12.35
68.92,17.18
75.78,17.73
73.5,20.72
68.82,24.3
71.35,28.75
68.45,28.22
93.38,27.52
81.65,26.9
70.82,24.85
65.68,25.7
70.07,27.0
88.8,29.05
84.72,27.22
80.82,28.15
86.1,27.35
82.48,27.12
78.4,24.55
68.42,23.2
62.92,22.25
63.1,25.6
56.7,20.23
55.82,21.42
50.68,20.88
51.5,22.22
53.08,22.28
52.58,19.78
52.22,23.48
55.05,26.92
53.82,25.2
52.12,28.32
55.68,27.68
53.35,29.48
53.78,29.08
52.08,30.52
52.45,29.3
59.95,27.1
63.88,27.98
64.07,26.58
63.52,23.92
57.85,25.35
61.22,23.85
48.48,21.25
48.8,18.88
46.5,20.8
42.27,20.58
39.9,22.82
42.12,23.98
41.9,23.83
42.15,21.42
42.9,23.02
45.3,22.48
49.58,23.48
50.48,27.68
51.53,28.5
51.2,27.58
50.75,29.85
50.42,27.9
58.48,25.88
67.4,24.85
64.55,22.9
64.3,23.55
67.22,23.5
61.52,21.75
59.13,21.42
52.42,22.4
56.32,21.9
49.05,19.05
46.5,23.7
56.1,24.42
53.42,21.2
49.82,21.02
51.5,22.58
49.9,19.48
51.15,21.05
53.35,22.78
44.38,21.8
42.48,24.92
49.88,23.87
59.72,23.05
66.78,23.82
63.3,22.62
62.9,22.42
61.0,23.15
62.32,22.85
62.38,21.92
64.18,23.55
65.92,23.12
65.62,21.9
64.4,22.0
62.28,20.25
57.2,19.82
49.7,18.4
45.9,20.45
37.53,19.62
44.88,18.2
41.9,18.75
41.88,19.25
44.05,19.52
46.22,20.25
46.52,21.6
46.73,21.32
49.53,21.58
54.6,20.68
57.48,22.32
60.8,22.78
59.45,22.65
61.38,21.28
56.5,21.35
59.12,23.18
62.25,23.25
60.78,22.02
59.28,20.1
60.35,20.52
52.05,19.32
45.15,19.1
43.8,16.1
42.4,19.88
46.05,20.12
53.7,18.83
51.1,20.72
48.4,19.77
50.55,17.7
51.37,19.83
50.12,17.98
56.6,21.35
57.78,21.88
62.08,21.38
65.6,23.55
26.75,23.67
51.05,27.52
45.02,26.15
46.4,26.45
45.15,26.5
47.52,25.88
40.15,24.92
43.4,25.33
41.22,23.05
41.38,22.85
38.67,19.1
40.6,21.38
42.95,23.15
36.57,21.45
33.2,20.9
36.93,20.27
39.55,21.3
40.4,20.72
46.2,21.7
45.22,21.85
43.18,20.7
45.8,20.75
45.78,20.7
41.68,21.42
42.7,25.0
31.03,27.58
26.55,27.85
26.7,26.85
34.4,25.28
69.77,25.98
66.35,28.8
71.03,28.9
68.75,28.3
67.2,24.92
68.42,23.58
64.7,23.32
61.8,19.9
54.2,22.0
54.0,22.62
53.3,23.6
53.78,22.17
56.55,22.38
55.35,22.48
57.52,19.53
62.1,20.23
61.6,19.25
58.75,19.85
57.42,18.72
55.05,17.48
52.05,17.73
48.65,17.42
45.5,16.0
46.07,19.08
41.9,19.95
43.95,19.4
47.1,18.97
51.38,19.92
48.03,18.98
47.12,19.42
50.8,18.75
67.57,19.8
65.72,22.0
64.75,24.15
70.38,22.3
78.5,24.08
71.6,22.42
72.0,24.08
68.45,25.75
75.32,26.42
71.95,23.85
73.27,22.98
68.25,23.17
61.48,20.68
59.38,21.1
58.7,22.3
53.8,18.1
56.07,20.8
60.6,21.72
59.72,18.55
63.95,19.0
65.5,17.45
68.22,19.17
96.35,20.88
93.5,24.4
95.2,27.2
86.62,31.68
91.7,30.18
95.02,28.25
88.25,27.7
88.02,27.48
98.98,27.67
104.6,28.88
100.48,28.6
101.02,27.28
95.92,25.55
107.45,24.55
95.62,24.22
92.8,22.62
89.45,21.58
78.6,21.8
73.9,22.32
69.1,21.22
72.97,20.0
79.02,20.5
79.28,19.3
80.3,20.4
80.58,21.15
79.35,21.4
74.55,22.68
73.5,23.0
74.15,22.6
79.93,24.18
78.22,22.88
81.22,24.43
82.3,24.12
80.7,26.6
84.38,25.32
85.58,25.9
84.52,25.48
93.78,24.55
94.02,23.15
87.35,21.5
81.22,20.5
87.6,20.0
69.03,19.7
66.58,19.23
65.3,20.68
73.6,21.28
71.8,19.05
77.85,20.92
79.47,21.72
75.45,20.58
76.9,23.15
79.82,22.35
76.12,23.25
79.78,24.12
83.82,24.22
90.15,23.5
94.58,24.75
86.6,24.52
92.4,24.52
96.28,22.82
95.15,23.5
105.08,22.38
103.15,22.1
96.55,21.15
87.75,20.58
90.2,19.6
76.57,20.3
74.18,21.95
84.25,19.02
77.53,18.52
80.6,19.88
90.82,21.45
85.62,22.48
76.2,25.38
22.9,25.33
46.7,23.28
38.58,22.83
48.28,22.42
65.52,23.55
91.32,23.3
107.22,24.3
103.95,26.5
97.5,25.85
106.3,26.18
110.15,26.12
110.6,22.8
97.4,23.5
89.43,23.18
75.4,19.7
77.93,23.52
77.53,23.25
83.62,21.08
77.15,21.82
76.47,20.78
95.02,21.68
90.6,22.35
87.38,24.35
81.88,24.75
74.48,24.95
69.55,24.0
69.15,22.3
72.78,23.9
81.9,24.45
92.05,24.45
99.55,22.7
104.5,22.08
96.52,24.45
95.88,22.38
99.25,20.47
93.7,20.95
89.62,18.77
85.8,16.1
83.77,20.0
78.22,19.02
80.53,19.7
78.92,19.1
73.32,20.1
70.85,20.0
72.92,20.08
