actual,prediction
240.0,219.0
207.0,185.0
233.0,179.0
207.0,188.0
185.0,190.0
166.0,151.0
132.0,168.0
117.0,158.0
122.0,169.0
107.0,172.0
127.0,157.0
132.0,169.0
132.0,185.0
134.25,180.0
129.0,166.0
121.0,162.0
125.0,171.0
107.5,191.0
121.25,207.0
176.75,211.0
190.0,218.0
184.5,217.0
174.0,223.0
165.0,204.0
141.25,194.0
125.0,190.0
144.5,139.0
164.0,141.0
164.25,150.0
167.5,155.0
163.75,150.0
157.5,151.0
155.25,147.0
155.75,145.0
163.5,163.0
172.75,216.0
160.75,222.0
156.75,229.0
152.5,222.0
152.5,216.0
159.75,221.0
177.75,216.0
199.5,213.0
217.75,240.0
227.25,285.0
228.25,312.0
216.0,331.0
195.5,323.0
217.0,277.0
223.75,235.0
217.75,193.0
207.0,201.0
205.5,208.0
191.0,205.0
168.0,161.0
140.25,135.0
118.0,179.0
116.75,200.0
144.25,248.0
180.75,296.0
226.75,381.0
273.5,439.0
229.5,338.0
195.25,406.0
140.5,344.0
122.5,320.0
146.75,243.0
209.75,272.0
200.25,460.0
269.75,547.0
266.0,471.0
153.25,343.0
105.5,332.0
100.25,345.0
88.75,343.0
97.0,262.0
107.75,243.0
137.75,234.0
120.75,210.0
100.75,185.0
96.25,175.0
100.5,222.0
96.0,263.0
170.5,299.0
202.0,262.0
194.25,266.0
210.5,312.0
237.25,283.0
198.25,266.0
182.25,271.0
199.25,294.0
219.25,289.0
292.25,293.0
331.5,291.0
334.75,291.0
328.75,276.0
312.0,227.0
256.75,196.0
228.0,157.0
210.5,128.0
192.5,110.0
164.75,96.0
136.0,89.0
113.25,80.0
103.5,83.0
112.5,83.0
163.25,88.0
173.75,113.0
174.25,144.0
193.75,196.0
191.0,182.0
216.5,185.0
220.0,207.0
184.25,234.0
168.5,206.0
185.0,189.0
248.0,224.0
257.25,291.0
222.5,186.0
227.0,246.0
226.0,218.0
176.75,183.0
182.0,145.0
186.0,162.0
204.5,117.0
208.0,95.0
194.25,113.0
193.0,114.0
194.75,107.0
165.75,145.0
132.75,171.0
130.25,229.0
159.0,287.0
163.5,268.0
158.25,222.0
149.5,216.0
138.75,177.0
142.0,188.0
148.5,194.0
162.75,185.0
167.0,183.0
166.25,184.0
164.0,183.0
125.0,199.0
114.0,155.0
114.0,121.0
139.0,108.0
145.0,100.0
144.0,101.0
135.0,94.0
105.0,118.0
112.0,88.0
124.0,105.0
155.0,143.0
168.0,157.0
173.0,178.0
194.0,188.0
175.0,195.0
152.0,197.0
146.0,197.0
132.0,188.0
139.0,189.0
188.0,179.0
208.0,188.0
238.0,211.0
221.0,280.0
213.0,323.0
239.0,277.0
141.0,256.0
95.0,248.0
111.0,206.0
116.0,161.0
112.0,153.0
118.0,177.0
129.0,134.0
125.0,130.0
132.0,129.0
127.0,119.0
140.0,107.0
99.0,83.0
89.0,72.0
72.0,62.0
78.0,75.0
78.0,78.0
85.0,83.0
90.0,119.0
112.0,189.0
160.0,296.0
193.0,350.0
235.0,342.0
245.0,255.0
271.0,266.0
312.0,182.0
291.0,195.0
284.0,188.0
251.0,162.0
323.0,163.0
290.0,168.0
283.0,178.0
315.0,197.0
282.0,211.0
326.0,172.0
299.0,194.0
287.0,173.0
266.0,207.0
313.0,366.0
228.0,266.0
206.0,219.0
172.0,239.0
188.0,257.0
262.0,290.0
317.0,300.0
349.0,304.0
348.0,488.0
328.0,482.0
331.0,394.0
315.0,371.0
353.0,365.0
251.0,345.0
172.0,261.0
199.0,152.0
186.0,133.0
186.0,183.0
193.0,162.0
172.75,152.0
153.25,163.0
174.5,195.0
262.5,179.0
283.75,201.0
282.0,211.0
300.0,195.0
294.0,185.0
274.25,179.0
263.75,208.0
256.75,219.0
269.25,262.0
327.25,277.0
396.75,305.0
424.5,263.0
360.5,243.0
318.5,178.0
303.0,138.0
241.5,121.0
169.5,118.0
191.0,116.0
177.75,108.0
148.0,100.0
132.75,103.0
134.5,101.0
157.0,121.0
184.25,160.0
224.0,169.0
211.75,175.0
168.75,177.0
174.25,180.0
201.0,175.0
229.75,226.0
198.75,238.0
176.25,215.0
132.5,189.0
89.75,161.0
83.75,125.0
115.0,121.0
180.5,149.0
181.0,143.0
112.0,134.0
109.75,135.0
111.5,134.0
152.0,132.0
118.0,122.0
166.5,136.0
204.5,130.0
418.5,111.0
259.25,119.0
185.25,111.0
165.0,101.0
157.25,149.0
136.0,190.0
123.75,158.0
117.5,141.0
132.5,147.0
141.75,161.0
158.0,149.0
173.5,149.0
194.25,153.0
176.75,177.0
156.25,182.0
143.0,194.0
124.25,175.0
117.5,155.0
105.75,136.0
91.5,117.0
78.25,103.0
68.25,91.0
77.25,83.0
87.75,81.0
75.0,79.0
73.75,101.0
81.75,110.0
92.25,105.0
95.75,101.0
104.25,103.0
111.5,97.0
103.25,116.0
97.75,114.0
104.5,117.0
123.5,133.0
141.75,162.0
157.25,169.0
146.0,149.0
135.75,125.0
125.0,127.0
142.25,111.0
204.5,111.0
172.75,112.0
156.0,122.0
182.25,124.0
156.5,122.0
133.0,118.0
128.25,105.0
125.75,122.0
128.0,138.0
132.0,145.0
139.0,133.0
141.0,135.0
136.5,145.0
205.25,145.0
257.5,185.0
277.5,191.0
256.5,169.0
269.0,167.5
269.25,175.25
265.25,178.0
265.0,164.0
286.0,179.75
274.25,184.25
288.25,171.25
266.5,140.0
248.75,142.25
243.75,143.75
215.25,148.5
194.75,150.75
176.75,143.5
174.25,129.0
151.0,116.0
126.5,113.75
115.0,111.75
125.75,125.25
117.25,142.0
119.75,155.0
113.0,132.75
