stage,column,dtype,row_count,present_count,missing_count,present_pct_of_all_rows,missing_pct_of_all_rows,unique,mean,median,min,max
before,PM2.5 (µg/m³),float64,35136,34199,937,97.33321948998179,2.666780510018215,2026,107.13705576186437,72.0,1.0,975.0
before,NO2 (µg/m³),float64,35136,34445,691,98.03335610200364,1.966643897996357,5286,37.973190884018,29.8,0.1,241.12
before,RH (%),float64,35136,34721,415,98.8188752276867,1.181124772313297,726,62.61617090521586,64.75,9.5,99.0
before,WS (m/s),float64,35136,26085,9051,74.2400956284153,25.759904371584703,235,0.7888913168487637,0.5,0.13,6.82
