stage,column,dtype,row_count,present_count,missing_count,present_pct_of_all_rows,missing_pct_of_all_rows,unique,mean,median,min,max
after,PM2.5 (µg/m³),float64,33889,33889,0,100.0,0.0,2020,106.80683761692585,71.75,1.0,975.0
after,NO2 (µg/m³),float64,33889,33889,0,100.0,0.0,5270,38.13425595325918,29.95,0.1,241.12
after,RH (%),float64,33889,33850,39,99.88491841010358,0.11508158989642658,719,62.38247178729689,64.5,9.5,99.0
after,WS (m/s),float64,33889,25415,8474,74.99483608250465,25.005163917495356,235,0.7920531182372614,0.5,0.13,6.82
