neighbor__5024,neighbor__1421,neighbor__1426
55.92,23.98,14.02
50.45,19.25,22.38
56.68,20.6,20.27
63.55,26.4,20.72
66.9,35.02,18.92
69.68,42.98,12.45
83.72,44.82,12.7
78.68,43.3,11.77
72.07,37.4,6.82
65.25,31.85,7.65
63.28,31.6,10.18
47.55,32.88,13.62
49.82,39.72,19.2
65.0,50.75,38.88
85.45,76.55,66.03
103.68,95.48,65.68
119.93,99.35,63.02
141.85,85.5,64.18
134.18,72.5,56.9
116.3,65.62,52.7
100.82,60.05,44.28
90.32,58.38,42.1
60.98,46.35,46.58
54.05,50.08,42.88
48.12,60.65,18.5
47.25,58.62,43.6
82.7,33.4,38.65
90.25,35.72,53.9
86.72,37.92,66.18
80.62,36.6,67.8
74.28,37.43,52.58
68.0,39.25,46.42
68.82,58.92,57.82
97.88,97.3,105.1
122.45,93.2,104.52
129.43,97.42,97.65
133.07,95.05,119.1
122.3,62.32,101.3
103.72,47.32,99.5
85.82,38.33,85.68
68.15,71.25,74.32
63.35,70.95,49.32
65.78,70.78,49.22
70.25,57.0,41.92
93.08,54.32,44.1
95.48,59.6,40.35
146.52,110.15,66.72
188.27,149.98,65.45
136.6,108.78,32.3
49.38,98.98,14.95
46.88,92.28,12.08
49.85,58.65,13.12
55.55,66.2,32.32
89.52,111.52,66.55
129.95,124.93,79.2
125.93,139.5,71.53
120.0,124.9,70.2
110.58,150.88,64.9
116.93,111.98,55.97
101.09,90.3,40.95
118.93,81.18,30.42
104.72,72.38,28.3
92.71,64.03,23.45
77.93,60.92,28.83
87.64,51.98,32.9
82.3,50.5,28.8
75.6,47.03,19.3
35.26,55.5,21.72
65.33,72.32,26.0
70.78,57.6,27.58
62.09,48.88,21.65
32.76,44.45,18.5
24.86,38.0,15.78
23.22,34.98,14.0
35.73,32.4,15.18
87.75,39.92,31.55
105.42,77.5,70.12
166.4,102.08,84.6
152.0,115.25,78.8
132.73,110.02,78.03
113.95,95.35,73.4
104.02,81.4,62.82
94.1,79.5,54.7
85.62,74.98,47.15
78.82,73.38,46.55
87.32,58.4,34.22
98.05,54.95,34.2
97.62,50.35,38.7
91.4,50.02,44.0
86.55,57.32,47.32
92.12,62.78,60.95
109.5,62.2,41.7
81.05,60.45,26.5
58.45,59.12,11.68
51.25,40.88,7.62
49.15,38.12,8.38
57.72,35.75,11.7
63.72,48.05,11.7
66.47,56.02,32.8
80.3,76.95,80.62
107.18,65.0,88.4
126.48,84.95,98.72
102.4,95.48,92.78
81.62,111.12,91.48
98.22,123.7,96.12
105.7,117.95,104.4
93.25,81.07,79.4
120.92,50.75,63.88
101.48,57.42,68.85
89.35,69.82,62.5
83.5,68.88,47.78
80.57,67.3,43.3
67.82,76.92,54.53
89.22,87.15,107.08
107.12,38.95,108.7
106.78,69.75,107.57
100.52,45.58,79.43
149.3,74.9,94.45
143.07,43.28,54.32
94.38,21.42,27.18
84.28,28.02,20.2
81.9,32.78,40.17
76.12,48.75,78.32
66.72,81.47,107.45
97.82,31.3,118.62
96.88,30.2,128.4
108.62,48.18,134.2
146.18,69.4,122.55
153.02,66.53,123.28
154.85,55.62,116.55
133.18,49.45,90.82
124.9,37.53,66.75
112.92,34.75,66.12
92.05,39.25,61.75
84.75,44.0,50.28
74.08,39.52,40.78
68.2,40.98,28.72
70.68,32.08,32.65
98.38,19.2,47.82
132.1,14.68,63.82
121.4,14.35,27.17
113.35,20.38,60.22
105.78,20.3,59.3
97.88,25.12,60.18
69.1,30.72,61.53
61.72,18.88,49.4
54.7,15.62,22.8
50.45,12.8,20.25
48.32,14.7,41.42
65.05,14.75,38.62
75.95,25.32,31.3
72.53,28.08,15.77
66.65,11.98,29.72
60.7,11.38,6.02
42.35,8.95,8.85
31.2,11.1,17.45
29.15,14.95,30.98
36.53,13.75,26.7
46.2,19.2,25.83
73.4,19.15,44.38
72.0,14.85,50.22
77.5,28.25,36.5
68.2,16.58,37.98
62.05,9.1,48.85
55.08,10.38,35.4
42.25,8.32,25.22
44.18,8.8,11.82
44.68,28.48,15.68
43.78,52.58,18.12
44.22,44.15,15.2
49.82,43.22,28.92
52.25,41.8,34.0
53.08,46.03,34.3
52.38,36.6,37.22
56.25,33.58,24.67
46.4,26.75,19.5
36.05,27.9,14.58
31.45,26.12,15.15
28.58,20.25,13.48
26.68,19.68,21.2
34.92,26.85,23.92
61.28,40.33,27.85
104.52,71.42,36.9
74.78,74.32,22.35
63.02,94.9,7.18
42.95,76.05,8.7
36.85,33.75,14.82
27.85,27.28,11.6
23.22,30.75,10.73
23.95,41.32,18.42
32.55,80.12,55.65
89.72,92.18,62.42
117.15,82.68,51.4
103.22,71.65,53.22
100.18,74.8,46.7
93.05,70.6,44.97
76.38,55.25,46.35
39.3,41.97,34.95
39.62,39.7,32.08
40.02,33.92,34.92
54.85,32.98,33.6
60.58,31.65,34.85
62.65,44.82,29.75
63.45,55.2,24.33
58.15,41.55,9.32
39.2,19.35,2.12
28.55,16.92,5.12
38.17,24.0,9.9
71.32,47.38,32.95
61.85,64.92,14.62
57.08,45.25,11.32
56.02,39.8,11.52
48.4,33.62,5.35
41.0,16.53,8.48
43.88,16.88,1.45
40.78,21.9,3.78
47.92,25.15,21.5
52.25,24.5,24.2
54.35,29.22,22.5
68.15,40.4,26.65
68.88,40.58,15.5
50.12,39.9,10.35
43.92,47.58,20.08
36.75,49.3,18.48
35.1,30.98,20.0
40.7,24.15,24.82
43.6,27.32,16.2
53.48,32.85,8.62
52.52,34.62,9.35
56.0,45.03,28.67
66.5,68.05,31.95
64.78,75.4,32.55
66.52,77.77,40.35
72.62,64.88,26.25
62.5,60.02,19.12
58.35,59.85,28.6
55.38,55.78,13.55
48.52,52.85,6.57
34.65,33.45,10.9
29.75,32.25,2.25
33.03,30.62,2.25
44.52,29.98,0.7
44.45,28.42,2.97
44.15,22.7,2.88
44.12,21.35,4.2
44.08,27.75,6.6
41.08,42.03,29.18
51.35,68.25,45.55
58.8,74.68,40.4
61.92,66.82,36.5
57.32,70.18,32.5
51.92,66.72,19.82
81.38,60.9,21.25
70.3,53.15,15.92
70.47,47.05,13.9
64.55,38.32,11.78
50.72,31.22,11.28
40.95,39.85,18.95
42.5,39.15,20.75
50.75,47.7,26.12
47.52,49.68,17.08
41.7,55.95,10.88
55.22,50.05,8.4
59.28,27.78,7.5
53.5,21.62,2.22
48.15,16.85,3.25
44.92,18.4,3.75
39.18,19.62,5.32
34.75,22.32,10.92
42.05,29.28,37.08
61.92,63.98,57.25
67.85,80.03,56.5
79.65,74.18,55.88
105.08,76.45,49.5
110.0,69.1,45.2
98.85,59.15,27.72
87.8,44.35,26.88
75.35,46.5,20.68
52.92,37.62,13.42
51.32,27.52,13.82
50.12,21.88,17.92
50.92,30.92,27.2
58.28,41.38,26.72
58.95,40.75,16.2
66.75,46.6,14.12
75.25,50.5,9.72
69.6,41.38,4.57
64.72,30.65,5.8
56.95,25.3,4.97
45.22,25.82,8.57
42.6,29.0,7.9
44.05,30.68,9.52
51.35,47.12,44.7
92.15,87.72,67.47
130.68,88.95,64.03
138.2,77.12,60.35
