actual,prediction,split
23.03,40.401741450125584,evaluation
20.67,34.738566482891706,evaluation
18.9,36.1384008205448,evaluation
20.8,36.42203139461922,evaluation
21.75,35.11824134820383,evaluation
23.2,35.22097781067844,evaluation
22.52,34.84706788870192,evaluation
23.67,33.890258782907765,evaluation
23.72,33.622232364070875,evaluation
19.9,31.934010867612955,evaluation
19.42,32.23697269160714,evaluation
18.75,30.774794958364765,evaluation
19.75,31.619961058076328,evaluation
22.25,31.49270838088139,evaluation
21.22,31.834170128623647,evaluation
23.9,31.467327487400624,evaluation
24.65,31.57552848691572,evaluation
21.0,35.43369001588444,evaluation
18.73,37.58584128259552,evaluation
21.0,41.40751565039737,evaluation
21.68,44.264231371189325,evaluation
23.1,45.861632442094525,evaluation
26.15,44.28806737241575,evaluation
25.62,42.777873335880486,evaluation
24.22,35.6646193282623,evaluation
20.25,35.559595273866144,evaluation
19.2,35.28275487011195,evaluation
19.62,30.957540754564626,evaluation
18.4,30.074026629149404,evaluation
20.92,31.88228177995274,evaluation
20.82,33.698465346634606,evaluation
23.35,35.207834523522514,evaluation
23.6,37.03880003635556,evaluation
20.92,35.57729720832219,evaluation
20.8,33.41237556194788,evaluation
20.62,33.66104127553207,evaluation
19.95,38.294894044086405,evaluation
21.82,40.31864368600465,evaluation
24.65,41.88474487191667,evaluation
24.3,42.98237929781579,evaluation
26.8,44.192483973807576,evaluation
25.02,48.12919089416966,evaluation
22.58,48.25407701417905,evaluation
20.83,49.44801801538632,evaluation
20.52,46.5389432139534,evaluation
25.17,45.845016631949264,evaluation
24.02,44.992945541972745,evaluation
23.85,43.29599324896397,evaluation
24.9,40.66831018164584,evaluation
21.33,32.699277055252736,evaluation
16.8,35.325087718026325,evaluation
19.8,38.57852885141745,evaluation
21.88,34.67392748195608,evaluation
23.85,38.45247609680517,evaluation
23.72,40.219144659996346,evaluation
23.95,35.96428452384415,evaluation
23.63,37.966041870957454,evaluation
22.38,38.3192194523421,evaluation
19.55,44.79202104848692,evaluation
20.0,53.21376517631596,evaluation
23.92,64.52021497106948,evaluation
25.85,64.68463505336791,evaluation
28.92,67.44550228331168,evaluation
28.95,59.31674951229773,evaluation
27.38,55.61835244983181,evaluation
25.9,61.110824539030254,evaluation
22.83,59.491069005571966,evaluation
24.25,63.2170355703043,evaluation
20.55,59.23543913261903,evaluation
18.48,51.44989718647022,evaluation
22.5,49.887713827590325,evaluation
23.05,46.12293519998872,evaluation
25.5,46.95292199773758,evaluation
21.85,40.59114294242073,evaluation
19.4,40.84765712571966,evaluation
20.2,38.4113728655203,evaluation
20.38,40.26379104748733,evaluation
21.65,39.24852526394304,evaluation
23.2,41.63012644956791,evaluation
25.15,40.99019337871151,evaluation
26.78,41.92616865722361,evaluation
21.62,41.83288925998658,evaluation
19.5,51.94374554297269,evaluation
19.32,63.17676821283692,evaluation
22.2,62.382436242280185,evaluation
25.1,56.37383322666184,evaluation
30.4,61.79467624270748,evaluation
33.85,59.71362014777424,evaluation
33.15,54.077730272988696,evaluation
26.65,51.71075707082194,evaluation
24.05,54.31558276022895,evaluation
22.92,48.91462064200218,evaluation
22.45,48.425912066864974,evaluation
23.98,48.96388210899991,evaluation
26.78,47.72885341785733,evaluation
25.6,46.16068474102231,evaluation
25.78,38.31021579400107,evaluation
22.8,37.68543240172521,evaluation
18.7,38.29325463073236,evaluation
21.42,36.48741188755966,evaluation
21.6,38.43298182262215,evaluation
23.7,39.44458724943457,evaluation
26.08,38.10756787767331,evaluation
25.12,38.05318512378212,evaluation
27.33,39.052475939254265,evaluation
21.65,35.608196625627514,evaluation
21.15,38.89398798593025,evaluation
