target_value
49.08
52.18
51.48
46.3
42.53
41.27
47.35
53.0
47.25
42.53
34.18
31.32
26.8
25.57
28.22
33.02
56.07
66.32
82.28
80.82
72.05
63.47
53.6
43.75
43.02
34.07
28.0
22.15
21.0
22.67
41.5
90.52
77.05
46.88
32.72
36.85
30.78
22.95
27.42
67.0
72.6
72.6
66.82
61.8
64.25
51.33
38.3
39.57
70.1
64.55
59.15
62.52
60.42
70.2
81.5
72.72
63.25
53.7
37.93
33.77
30.83
35.8
58.93
82.48
86.1
86.57
74.9
65.9
60.47
52.27
46.75
38.4
34.1
33.15
32.63
29.73
35.0
38.2
48.3
57.7
63.55
66.45
61.88
70.6
74.88
77.55
80.08
83.35
78.27
77.9
79.48
62.53
56.35
52.23
34.9
30.92
26.55
26.0
29.3
39.1
78.25
58.3
39.35
35.82
35.0
36.68
37.85
42.03
75.58
79.25
76.65
77.85
72.75
70.7
64.48
68.92
60.62
56.22
54.62
33.3
37.47
38.02
40.33
43.38
47.05
53.27
54.55
51.9
51.48
53.32
61.2
69.0
74.3
70.55
68.05
62.1
52.33
39.6
34.3
33.48
30.3
28.72
31.6
39.0
36.05
40.83
53.58
73.43
64.93
61.9
46.02
42.0
54.22
75.15
82.45
84.8
40.45
49.3
53.1
53.2
47.28
41.42
34.6
28.08
28.0
30.4
47.97
77.78
50.9
51.38
48.0
51.88
48.22
41.45
36.28
28.88
27.65
29.82
29.4
33.6
48.78
83.15
84.07
79.55
78.97
73.6
53.55
53.55
45.45
43.78
37.1
35.28
34.12
33.0
35.55
68.05
82.2
90.02
97.6
84.12
77.88
113.5
96.92
67.4
63.55
84.88
79.72
85.22
93.22
99.22
99.28
93.18
79.12
70.65
66.92
53.68
50.42
44.4
38.62
33.38
32.33
34.9
54.6
98.78
97.22
71.22
40.4
76.2
65.53
53.52
42.97
44.28
51.58
56.45
75.6
88.82
88.05
81.32
71.42
67.42
57.98
49.05
40.85
29.38
29.6
28.32
35.6
40.78
40.58
42.9
31.95
26.18
28.6
28.65
40.78
60.9
67.7
70.53
65.38
56.85
49.38
42.88
39.42
35.2
46.38
49.08
47.98
46.7
47.62
40.8
40.8
39.28
35.58
33.17
34.7
36.83
40.0
51.6
67.15
