target_value
156.9
142.12
113.48
108.18
88.02
72.75
77.95
111.57
125.4
103.22
136.67
135.55
118.12
90.47
83.77
78.75
68.92
83.43
123.65
97.23
114.25
140.85
140.8
126.82
110.75
84.0
62.85
54.88
56.73
55.38
79.3
114.2
138.55
166.92
153.92
130.83
110.4
86.2
85.08
86.1
166.53
121.67
132.1
159.97
178.92
193.55
173.4
148.62
88.23
81.95
79.35
78.72
87.0
121.45
146.8
137.5
127.65
109.1
74.62
66.85
57.62
66.75
81.88
118.85
155.3
151.45
141.33
132.95
120.12
87.98
71.32
54.65
51.68
61.1
97.0
104.12
102.35
104.57
109.2
99.5
82.08
81.67
89.23
90.4
101.27
159.9
162.02
162.87
144.28
132.28
96.0
72.43
68.85
67.95
57.75
91.3
106.65
96.8
89.1
91.45
87.83
99.15
110.62
117.47
103.5
86.68
103.05
108.88
113.7
103.6
102.7
108.23
93.27
95.08
99.45
99.15
93.6
120.5
116.02
113.18
110.6
97.75
74.62
68.12
73.65
71.53
78.7
94.88
101.08
88.35
82.55
89.58
111.78
81.53
79.1
74.38
77.47
78.6
82.98
109.6
88.45
85.18
78.05
51.25
43.65
56.82
75.45
85.4
134.42
165.62
109.0
100.08
91.02
89.52
110.18
116.62
52.48
61.4
68.55
78.75
120.18
127.57
104.55
82.28
67.97
50.3
68.05
102.6
62.12
60.08
68.97
90.52
107.4
98.05
89.75
83.45
73.1
45.4
41.68
50.3
74.92
97.6
120.02
137.32
128.6
125.87
94.38
88.38
90.0
86.05
57.02
45.97
45.12
49.88
48.3
67.75
139.82
152.5
156.18
136.62
122.88
93.68
72.8
61.78
58.02
53.25
48.12
75.57
79.32
107.88
106.35
82.72
124.98
96.4
100.85
97.35
103.43
126.4
117.6
106.68
107.45
97.75
123.18
105.28
89.0
104.88
94.1
74.43
78.32
87.0
111.02
100.65
89.52
88.85
95.58
94.4
76.7
69.3
69.53
74.9
80.05
108.98
107.22
86.4
80.42
63.75
47.28
46.32
48.55
48.62
49.55
66.95
70.08
61.47
55.8
85.4
78.3
85.65
84.68
105.18
111.48
92.1
81.5
65.18
55.92
50.45
56.68
63.55
66.9
69.68
83.72
78.68
72.07
65.25
63.28
47.55
49.82
65.0
85.45
103.68
119.93
141.85
134.18
116.3
100.82
90.32
60.98
54.05
48.12
47.25
82.7
90.25
86.72
80.62
74.28
68.0
68.82
97.88
122.45
129.43
133.07
122.3
103.72
85.82
68.15
63.35
65.78
70.25
93.08
95.48
146.52
188.27
136.6
49.38
46.88
49.85
55.55
89.52
129.95
125.93
120.0
110.58
116.93
101.09
118.93
104.72
92.71
77.93
87.64
82.3
75.6
35.26
65.33
70.78
62.09
32.76
24.86
23.22
35.73
87.75
105.42
166.4
152.0
132.73
113.95
104.02
94.1
85.62
78.82
87.32
98.05
97.62
91.4
86.55
92.12
109.5
81.05
58.45
51.25
49.15
57.72
63.72
66.47
80.3
107.18
126.48
102.4
81.62
