neighbor__124,neighbor__1421,neighbor__1426
145.0,139.5,125.75
109.25,138.0,130.25
142.0,143.0,119.0
126.0,114.0,159.5
130.25,100.0,170.5
168.75,103.0,177.5
138.5,108.0,166.5
138.75,92.0,156.5
111.25,100.0,124.5
45.75,91.0,81.0
65.25,75.0,68.0
73.75,64.0,76.5
79.0,69.0,77.0
100.0,78.0,80.5
106.25,99.0,104.0
134.25,150.0,142.5
162.0,197.0,189.5
271.25,226.75,210.0
332.0,230.0,242.0
381.75,214.0,292.5
333.0,228.25,305.0
288.0,200.25,315.5
252.5,222.0,315.5
240.25,216.75,303.5
207.5,236.0,312.5
233.0,238.75,335.5
260.0,225.0,164.5
230.0,156.5,160.5
148.25,160.25,156.5
179.0,165.25,185.0
193.25,159.25,212.5
192.0,155.25,221.0
216.75,159.5,216.0
241.75,191.0,206.5
378.5,208.0,253.0
453.25,240.5,316.5
576.75,285.75,385.5
654.75,323.0,454.0
629.25,246.0,488.0
638.5,218.25,505.0
558.75,268.75,527.5
406.75,508.0,390.5
387.75,423.0,365.0
354.75,437.0,350.5
459.0,438.0,360.5
577.0,406.0,347.0
598.75,510.0,371.5
615.75,622.0,390.0
498.0,509.0,336.5
211.0,244.0,278.5
251.25,255.0,241.0
263.0,290.0,174.0
224.5,240.0,173.0
272.5,235.0,186.0
266.25,289.0,206.0
328.0,311.0,271.0
350.5,387.0,336.0
342.5,398.0,323.5
452.5,427.0,284.0
411.75,418.0,261.5
421.25,379.0,231.0
403.0,334.0,217.5
311.5,285.0,216.0
287.75,271.0,220.0
272.0,279.0,236.5
345.75,305.0,246.0
325.75,301.0,190.0
261.5,309.0,149.0
293.25,287.0,160.0
275.25,294.0,191.5
215.0,235.0,239.0
159.25,146.0,246.0
85.0,103.0,216.0
85.0,100.0,189.5
113.25,99.0,167.5
111.0,90.0,167.5
139.0,101.0,181.0
158.25,117.0,203.5
253.75,195.0,244.5
332.5,256.0,275.5
270.25,340.0,284.0
404.0,326.0,277.5
425.75,269.0,273.5
397.75,257.0,273.5
369.75,256.0,256.0
328.5,267.0,236.5
281.75,268.0,255.5
275.0,263.0,299.5
321.75,270.0,346.5
340.75,298.25,319.0
307.5,310.5,280.0
307.5,279.75,293.5
235.0,268.5,274.0
176.75,232.0,197.5
103.75,147.75,118.5
36.5,99.25,98.5
56.5,85.0,110.0
69.5,65.5,111.5
91.5,62.5,95.0
134.25,69.5,83.0
166.75,102.5,108.0
312.25,231.25,231.5
466.5,360.25,355.5
559.25,257.5,393.5
546.75,207.75,446.5
