actual,prediction
46.2,55.2
46.2,54.03
45.9,52.6
40.95,50.58
37.3,45.95
38.95,43.7
37.05,46.58
41.65,45.1
39.53,44.32
102.85,50.05
159.28,56.6
141.3,46.5
107.8,43.88
90.9,52.15
56.5,47.12
58.18,47.0
61.3,44.0
92.75,43.62
106.22,48.3
95.85,101.55
78.45,97.58
85.38,90.22
76.9,75.2
92.75,69.12
79.68,57.45
77.1,54.92
71.55,55.3
60.08,57.08
56.15,54.3
68.93,54.1
73.58,53.9
62.92,52.65
57.3,56.88
62.58,57.0
70.85,49.15
52.8,44.82
47.68,40.3
49.28,38.4
46.4,37.5
51.45,38.3
49.9,39.0
65.82,45.82
112.9,51.68
109.18,55.45
98.58,54.08
87.5,64.03
82.42,64.48
80.88,60.0
78.12,54.35
68.4,48.72
64.75,45.4
72.97,47.78
58.5,44.45
56.4,47.0
79.92,51.18
85.08,53.38
79.28,55.15
58.38,54.65
53.35,46.68
49.58,43.58
47.0,41.9
49.85,40.1
52.38,39.9
56.25,43.12
53.38,44.88
69.28,47.2
96.65,51.9
113.2,65.05
110.32,63.72
110.3,61.52
103.55,64.82
92.7,70.47
73.85,67.35
59.62,58.72
60.85,55.9
62.98,52.42
60.25,53.92
66.53,53.22
76.48,53.4
77.3,55.55
67.12,64.65
70.28,53.85
63.5,52.42
55.97,44.75
52.7,39.83
50.28,39.88
55.42,40.78
56.08,41.58
83.3,46.35
105.2,72.97
105.18,101.7
92.02,91.78
75.18,80.9
72.82,77.6
80.42,77.85
77.42,71.97
69.75,84.4
63.05,73.7
50.85,64.18
40.3,59.2
48.32,55.55
54.25,53.52
59.55,55.5
86.82,75.25
80.38,61.72
70.88,51.58
55.0,37.33
44.12,35.22
40.72,34.7
40.7,34.78
41.7,35.67
60.72,39.58
93.18,48.12
100.88,64.3
96.1,54.15
95.9,60.45
81.6,65.93
83.4,59.28
71.78,57.52
69.4,57.38
55.1,56.9
58.7,54.12
57.75,54.8
66.58,50.75
70.62,47.4
69.57,48.12
63.0,49.4
61.28,48.8
51.18,43.8
43.85,42.88
44.8,40.85
40.37,36.88
41.92,36.03
40.72,36.28
38.17,38.45
49.42,44.68
81.25,55.85
95.48,61.72
97.42,63.65
100.3,71.03
93.62,58.62
77.88,55.65
76.95,53.52
77.9,49.28
67.2,47.3
57.42,46.47
64.47,46.6
65.58,47.08
61.12,51.32
72.35,50.4
62.05,49.72
48.5,45.9
41.62,42.55
38.58,38.05
40.1,40.28
38.15,38.2
38.75,35.38
37.72,36.95
28.3,38.47
29.7,43.55
57.48,54.72
63.15,67.72
52.65,84.92
72.9,88.2
69.55,77.07
67.7,65.25
57.62,59.2
57.35,56.0
49.75,55.9
45.58,58.65
52.4,58.95
54.55,58.85
39.0,57.92
34.78,61.28
32.6,58.52
25.02,49.72
17.27,42.5
13.37,39.95
13.52,39.95
13.78,36.45
14.32,45.92
13.5,59.38
12.65,64.85
19.85,61.2
52.78,87.52
59.9,125.18
60.53,127.78
62.65,100.25
57.92,77.98
57.95,74.53
54.68,74.3
46.05,82.82
30.85,87.3
26.6,95.18
28.7,73.35
40.67,55.92
43.75,61.03
47.5,76.65
51.15,90.78
44.2,102.95
33.3,87.15
24.65,97.02
20.68,104.78
47.1,73.85
50.58,65.75
52.08,72.07
53.45,86.62
55.28,83.32
57.98,71.28
42.15,70.8
40.8,68.58
38.5,77.7
36.78,96.2
39.02,104.15
42.25,126.55
40.9,133.93
33.5,53.6
28.67,55.2
18.95,54.35
20.37,23.63
16.25,27.2
2.0,28.1
3.1,33.6
6.07,40.6
109.55,79.45
105.22,97.9
115.92,103.7
97.85,103.07
88.5,93.18
48.78,96.12
45.02,102.52
34.4,98.4
32.28,67.0
32.5,54.62
35.47,51.45
38.5,50.8
45.62,61.48
56.75,55.72
147.15,64.78
162.12,79.18
113.05,102.78
68.1,64.42
28.2,52.15
49.38,47.92
36.75,44.45
27.17,45.82
127.65,50.95
109.15,58.78
92.65,62.65
91.25,59.55
81.1,65.5
68.4,69.85
53.3,57.75
48.6,51.18
46.6,51.5
46.2,44.1
38.05,44.3
41.9,45.18
39.78,40.97
47.48,39.2
71.05,38.83
62.68,50.1
42.42,54.12
36.05,56.0
31.65,44.8
29.0,38.05
27.6,43.42
27.45,52.88
29.25,65.77
47.32,82.02
82.62,110.5
89.35,160.37
29.18,67.7
44.6,42.85
43.25,36.85
40.0,35.2
41.97,36.82
62.3,40.55
95.52,45.7
99.65,57.03
79.8,61.38
57.88,54.5
48.2,50.6
32.07,56.6
22.0,60.43
18.4,55.42
15.75,56.2
18.58,53.12
20.6,54.0
27.2,48.92
20.65,48.65
23.8,48.05
33.38,43.35
54.2,43.68
97.65,58.75
119.2,63.62
113.32,64.32
85.58,48.92
86.45,44.02
32.5,36.78
35.7,36.05
61.62,36.95
81.82,37.5
93.8,45.68
74.25,62.08
72.42,52.1
50.95,48.7
37.02,42.55
34.17,37.55
40.45,39.43
36.05,45.6
30.75,42.78
24.72,40.33
28.98,37.42
25.5,33.08
28.0,31.78
27.95,32.42
24.92,32.98
27.12,34.02
26.9,31.38
29.22,32.05
29.98,30.4
23.52,29.98
22.12,29.85
21.3,30.12
32.1,32.75
39.15,41.8
61.42,49.88
66.55,52.25
59.12,50.82
48.85,46.88
43.52,44.0
37.48,41.72
42.85,37.2
36.75,35.2
31.9,34.4
20.15,37.85
31.55,41.58
31.1,42.08
30.48,38.35
32.57,34.88
44.32,35.65
47.48,34.53
46.28,36.62
30.6,34.42
26.38,30.35
17.38,27.1
18.2,27.08
23.52,28.58
37.1,31.12
79.3,33.6
79.2,37.9
67.88,38.4
59.58,37.67
52.88,36.7
42.1,43.18
40.35,51.92
39.8,44.8
42.6,39.17
42.6,36.35
53.68,41.47
45.45,18.1
54.15,22.02
49.75,38.05
75.95,42.22
92.05,44.48
105.0,66.1
95.12,83.78
81.35,76.15
69.35,74.65
72.38,58.35
56.28,53.28
46.92,54.8
41.9,47.52
27.55,44.5
24.02,42.68
24.25,43.8
32.55,41.85
36.1,44.62
37.38,44.3
41.82,43.05
38.15,41.02
33.3,35.85
22.35,32.5
20.42,31.15
11.2,29.88
9.05,29.08
8.95,28.28
11.52,27.38
18.52,30.6
44.15,40.52
58.03,48.75
70.7,45.63
70.88,46.32
62.92,50.73
66.53,50.52
63.2,42.68
51.98,51.08
33.57,48.62
32.4,41.98
35.7,41.72
40.7,44.65
56.4,52.52
64.4,50.9
55.1,48.92
39.65,46.1
22.9,35.4
12.22,29.32
10.1,27.25
12.05,25.52
13.18,25.35
12.58,26.72
12.95,29.5
26.92,33.47
50.55,39.2
64.45,52.78
49.18,49.42
33.92,44.38
38.98,39.88
35.83,38.8
30.65,38.25
23.4,39.4
23.92,36.5
18.7,36.95
24.65,38.38
32.02,34.15
42.88,34.45
37.08,36.2
32.25,34.38
20.95,32.42
18.92,29.2
13.9,28.82
14.73,28.38
13.98,27.3
14.65,28.15
18.23,29.75
18.62,35.95
41.45,49.28
62.38,54.15
62.62,51.47
63.75,46.15
65.0,46.72
62.05,49.42
54.6,48.1
50.6,46.88
48.75,45.9
39.48,38.98
33.5,39.72
36.58,40.4
49.95,44.05
54.32,44.05
36.38,47.9
29.28,43.3
26.9,37.2
24.7,33.58
24.33,32.35
30.98,30.37
24.22,28.78
26.32,28.2
29.75,28.52
45.85,31.58
86.85,40.58
108.58,64.12
111.82,80.55
124.1,81.72
113.05,79.65
100.52,75.75
84.25,68.62
66.58,64.6
63.25,60.8
71.62,59.9
69.97,54.35
77.55,59.45
72.38,57.5
83.38,57.53
79.1,56.65
80.22,64.95
61.77,53.2
53.0,48.25
34.98,46.12
34.25,38.2
30.78,36.28
36.08,35.8
38.0,32.75
58.5,32.83
99.48,40.15
134.48,91.22
121.32,98.38
106.48,101.85
86.4,92.4
65.7,94.08
50.78,81.3
51.82,72.58
45.5,57.1
54.65,63.22
51.7,58.8
55.55,65.18
50.88,62.12
58.38,58.12
86.35,63.8
107.9,74.97
97.35,66.62
82.4,42.92
61.15,40.6
39.22,38.82
31.28,34.78
33.1,32.72
46.15,34.57
68.25,38.08
119.57,48.78
121.65,69.47
104.05,83.85
91.0,101.9
79.18,73.25
63.92,65.42
46.2,58.68
41.62,58.7
39.25,52.3
38.28,56.8
45.12,63.92
36.0,58.97
42.45,60.48
52.05,59.3
87.32,64.38
153.55,98.25
143.07,63.35
116.78,47.88
40.05,30.5
32.42,27.2
33.05,26.85
41.18,28.55
53.38,31.6
117.75,32.25
121.82,39.3
109.57,54.58
93.95,53.68
81.72,60.25
74.15,77.28
62.38,79.22
64.03,68.82
78.45,67.1
66.57,53.9
69.28,48.2
67.5,42.05
55.1,41.88
58.0,43.18
55.18,40.08
45.75,36.78
40.15,35.58
31.3,32.92
22.15,28.42
