actual,prediction,split
50.75,57.742058,evaluation
49.18,57.205383,evaluation
51.6,57.31781,evaluation
47.45,56.90667,evaluation
57.65,56.770798,evaluation
59.02,58.809803,evaluation
56.3,60.744915,evaluation
47.6,60.6532,evaluation
51.55,59.942776,evaluation
44.62,57.56626,evaluation
51.28,58.549812,evaluation
41.4,53.69545,evaluation
34.95,53.70934,evaluation
31.3,52.927025,evaluation
28.15,51.272507,evaluation
27.4,50.323914,evaluation
28.72,50.282703,evaluation
32.7,49.67739,evaluation
36.3,49.552673,evaluation
32.25,51.02733,evaluation
36.3,52.374413,evaluation
35.75,54.64717,evaluation
36.12,55.76756,evaluation
38.38,56.265587,evaluation
38.35,54.62507,evaluation
35.65,54.562424,evaluation
36.62,54.47574,evaluation
47.78,57.8772,evaluation
55.9,61.221775,evaluation
53.82,59.35888,evaluation
60.0,58.858963,evaluation
63.65,58.199486,evaluation
59.58,55.48255,evaluation
52.92,53.851616,evaluation
47.85,54.733936,evaluation
47.45,56.475708,evaluation
38.2,52.373535,evaluation
33.05,50.235023,evaluation
32.92,54.052162,evaluation
23.28,51.602123,evaluation
30.05,51.935802,evaluation
34.02,52.95408,evaluation
42.05,52.646942,evaluation
38.47,53.212833,evaluation
40.2,55.77698,evaluation
48.85,52.339302,evaluation
42.12,51.423492,evaluation
57.62,53.996765,evaluation
42.78,55.78833,evaluation
41.48,56.719276,evaluation
37.12,54.731506,evaluation
34.1,54.062286,evaluation
38.8,54.458603,evaluation
47.82,56.173454,evaluation
50.0,58.325798,evaluation
52.92,59.980904,evaluation
57.62,60.434242,evaluation
54.62,60.06504,evaluation
46.55,58.445114,evaluation
36.35,56.57149,evaluation
37.28,53.925552,evaluation
31.35,49.900627,evaluation
28.05,48.419945,evaluation
26.1,43.086998,evaluation
32.95,45.772068,evaluation
36.85,44.466656,evaluation
30.58,44.65406,evaluation
30.1,45.831856,evaluation
31.18,47.19561,evaluation
28.08,49.14738,evaluation
27.95,48.797543,evaluation
30.5,49.110733,evaluation
35.6,51.638172,evaluation
36.25,52.9515,evaluation
38.12,54.21943,evaluation
33.95,53.516693,evaluation
42.3,55.75914,evaluation
49.9,55.50709,evaluation
57.52,57.714638,evaluation
50.0,58.642937,evaluation
48.85,57.56455,evaluation
47.68,56.166916,evaluation
44.08,57.50171,evaluation
42.05,53.033165,evaluation
42.25,49.395935,evaluation
35.4,47.904137,evaluation
41.58,48.455036,evaluation
30.02,49.58802,evaluation
28.35,52.07469,evaluation
30.62,50.30406,evaluation
33.15,48.80092,evaluation
32.6,50.38919,evaluation
35.48,51.062042,evaluation
35.45,51.57336,evaluation
29.08,53.161327,evaluation
32.85,53.903755,evaluation
39.22,55.870506,evaluation
41.75,56.783844,evaluation
56.9,44.116676,evaluation
57.15,55.6066,evaluation
50.25,52.476387,evaluation
46.0,52.374287,evaluation
42.28,51.85108,evaluation
48.58,52.455437,evaluation
54.8,48.066685,evaluation
50.9,49.859467,evaluation
44.75,50.2767,evaluation
45.08,50.34935,evaluation
40.28,48.338387,evaluation
36.1,49.060036,evaluation
34.65,50.501488,evaluation
34.12,46.92051,evaluation
31.05,44.94303,evaluation
27.15,47.0115,evaluation
34.02,47.851063,evaluation
36.65,47.574806,evaluation
40.98,49.058586,evaluation
41.42,47.757957,evaluation
38.85,47.637917,evaluation
38.8,50.32059,evaluation
42.45,50.885895,evaluation
42.38,48.987087,evaluation
46.47,51.81151,evaluation
41.0,46.153263,evaluation
42.25,44.558094,evaluation
33.55,44.55022,evaluation
51.55,46.899937,evaluation
59.15,60.25795,evaluation
51.9,61.30842,evaluation
43.52,63.31197,evaluation
52.3,62.54194,evaluation
54.58,61.473076,evaluation
53.92,61.549973,evaluation
39.15,59.07525,evaluation
38.3,57.727688,evaluation
44.4,54.391666,evaluation
49.98,49.786118,evaluation
47.0,50.276546,evaluation
47.45,50.270042,evaluation
42.48,50.97119,evaluation
51.53,49.88229,evaluation
63.1,52.273304,evaluation
69.53,55.699245,evaluation
64.27,54.283386,evaluation
64.55,53.11437,evaluation
58.5,52.737,evaluation
58.5,52.626575,evaluation
40.25,50.619858,evaluation
44.55,48.39744,evaluation
38.05,46.473736,evaluation
36.75,46.814285,evaluation
45.48,45.271076,evaluation
37.08,45.449627,evaluation
40.8,46.663513,evaluation
58.62,48.457085,evaluation
50.65,46.81162,evaluation
49.22,47.396248,evaluation
50.2,48.47073,evaluation
64.08,54.46933,evaluation
55.4,54.82464,evaluation
66.18,57.318726,evaluation
63.12,58.241623,evaluation
72.6,60.39159,evaluation
78.1,56.769516,evaluation
90.12,59.37684,evaluation
107.65,58.862648,evaluation
100.22,62.62497,evaluation
85.82,62.184,evaluation
72.2,62.895264,evaluation
73.12,61.639942,evaluation
59.82,58.629898,evaluation
46.2,57.00787,evaluation
46.2,56.67959,evaluation
45.9,53.974506,evaluation
40.95,54.766743,evaluation
37.3,55.43846,evaluation
38.95,53.93313,evaluation
37.05,56.526882,evaluation
41.65,56.42161,evaluation
39.53,57.417694,evaluation
102.85,68.01532,evaluation
159.28,68.79083,evaluation
141.3,67.68785,evaluation
107.8,65.10454,evaluation
90.9,68.21431,evaluation
56.5,67.91748,evaluation
58.18,65.91917,evaluation
61.3,65.02469,evaluation
92.75,67.97336,evaluation
106.22,70.660484,evaluation
95.85,70.111046,evaluation
78.45,70.33304,evaluation
85.38,69.47025,evaluation
76.9,72.854294,evaluation
92.75,70.120026,evaluation
79.68,68.53238,evaluation
77.1,67.14104,evaluation
71.55,63.92702,evaluation
60.08,62.684753,evaluation
56.15,60.473408,evaluation
68.93,61.65047,evaluation
73.58,63.685074,evaluation
62.92,63.392056,evaluation
57.3,64.55052,evaluation
62.58,64.7354,evaluation
70.85,62.913643,evaluation
52.8,60.31127,evaluation
47.68,58.44906,evaluation
49.28,57.85389,evaluation
46.4,59.695354,evaluation
51.45,59.24257,evaluation
49.9,60.76664,evaluation
65.82,63.346,evaluation
112.9,64.49737,evaluation
109.18,66.12278,evaluation
98.58,66.33751,evaluation
87.5,66.997894,evaluation
82.42,69.54094,evaluation
80.88,69.18164,evaluation
78.12,66.43495,evaluation
68.4,63.287125,evaluation
64.75,64.24717,evaluation
72.97,58.822716,evaluation
58.5,56.872307,evaluation
56.4,57.38031,evaluation
79.92,61.44824,evaluation
85.08,61.00237,evaluation
79.28,63.563435,evaluation
58.38,64.0948,evaluation
53.35,60.87059,evaluation
49.58,60.78393,evaluation
47.0,61.060448,evaluation
49.85,59.312805,evaluation
52.38,60.595142,evaluation
56.25,63.025368,evaluation
53.38,65.351654,evaluation
69.28,67.38176,evaluation
96.65,66.11998,evaluation
113.2,69.19476,evaluation
110.32,70.01422,evaluation
110.3,69.637085,evaluation
103.55,72.16269,evaluation
92.7,71.809586,evaluation
