stage,column,dtype,row_count,present_count,missing_count,present_pct_of_all_rows,missing_pct_of_all_rows,unique,mean,median,min,max
after,PM2.5 (µg/m³),float64,162575,162575,0,100.0,0.0,2819,102.91862617253575,68.0,0.5,984.0
after,NO2 (µg/m³),float64,162575,162575,0,100.0,0.0,11049,40.53411399866729,32.0,0.1,473.6
after,RH (%),float64,162575,161644,931,99.42734122712594,0.5726587728740581,6992,61.396391153811244,63.5,0.28,100.0
after,WS (m/s),float64,162575,121168,41407,74.53052437336613,25.469475626633866,456,1.0143221945288086,0.88,0.1,18.65
