stage,column,dtype,row_count,present_count,missing_count,present_pct_of_all_rows,missing_pct_of_all_rows,unique,mean,median,min,max
before,PM2.5 (µg/m³),float64,175296,166228,9068,94.82703541438481,5.172964585615189,2851,102.98151725341097,68.0,0.5,992.0
before,NO2 (µg/m³),float64,175296,167286,8010,95.43058598028477,4.569414019715225,11208,40.92587073435115,32.21,0.1,473.6
before,RH (%),float64,175296,169964,5332,96.9582876962395,3.0417123037604963,7032,61.37579595286845,63.48,0.28,100.0
before,WS (m/s),float64,175296,128354,46942,73.22129426798102,26.778705732018988,460,1.0086170928318037,0.8500000000000001,0.1,18.65
