neighbor__5024,neighbor__1421,neighbor__1426
110.25,139.5,125.75
135.5,138.0,130.25
136.25,143.0,119.0
160.25,114.0,159.5
172.75,100.0,170.5
207.5,103.0,177.5
172.5,108.0,166.5
152.5,92.0,156.5
142.25,100.0,124.5
107.0,91.0,81.0
83.75,75.0,68.0
95.25,64.0,76.5
94.25,69.0,77.0
95.5,78.0,80.5
113.5,99.0,104.0
139.5,150.0,142.5
198.75,197.0,189.5
284.0,226.75,210.0
363.5,230.0,242.0
408.25,214.0,292.5
407.0,228.25,305.0
369.5,200.25,315.5
377.5,222.0,315.5
368.75,216.75,303.5
328.5,236.0,312.5
301.75,238.75,335.5
192.75,225.0,164.5
172.5,156.5,160.5
185.75,160.25,156.5
214.25,165.25,185.0
219.5,159.25,212.5
214.0,155.25,221.0
208.5,159.5,216.0
210.75,191.0,206.5
245.75,208.0,253.0
271.0,240.5,316.5
319.5,285.75,385.5
394.75,323.0,454.0
373.75,246.0,488.0
292.25,218.25,505.0
278.25,268.75,527.5
267.0,508.0,390.5
307.5,423.0,365.0
328.25,437.0,350.5
383.0,438.0,360.5
394.25,406.0,347.0
396.5,510.0,371.5
495.25,622.0,390.0
559.25,509.0,336.5
322.0,244.0,278.5
252.0,255.0,241.0
193.5,290.0,174.0
166.0,240.0,173.0
179.25,235.0,186.0
202.25,289.0,206.0
263.25,311.0,271.0
274.0,387.0,336.0
270.75,398.0,323.5
250.5,427.0,284.0
212.76,418.0,261.5
113.06,379.0,231.0
113.06,334.0,217.5
113.05,285.0,216.0
113.05,271.0,220.0
113.04,279.0,236.5
113.04,305.0,246.0
113.04,301.0,190.0
113.04,309.0,149.0
113.04,287.0,160.0
113.05,294.0,191.5
113.05,235.0,239.0
113.06,146.0,246.0
113.06,103.0,216.0
113.06,100.0,189.5
122.54,99.0,167.5
160.5,90.0,167.5
193.75,101.0,181.0
225.25,117.0,203.5
286.0,195.0,244.5
311.0,256.0,275.5
307.5,340.0,284.0
316.25,326.0,277.5
329.0,269.0,273.5
345.0,257.0,273.5
299.0,256.0,256.0
246.0,267.0,236.5
272.25,268.0,255.5
334.25,263.0,299.5
333.5,270.0,346.5
328.75,298.25,319.0
361.5,310.5,280.0
403.75,279.75,293.5
462.25,268.5,274.0
385.5,232.0,197.5
223.25,147.75,118.5
146.0,99.25,98.5
92.0,85.0,110.0
99.75,65.5,111.5
118.0,62.5,95.0
101.0,69.5,83.0
101.75,102.5,108.0
147.0,231.25,231.5
230.5,360.25,355.5
244.0,257.5,393.5
235.5,207.75,446.5
347.5,231.25,474.0
412.5,223.25,416.0
337.5,222.0,370.0
367.5,223.25,340.0
305.75,206.0,301.0
238.5,242.0,280.0
210.25,266.75,300.0
247.75,259.75,355.5
281.5,267.5,397.5
314.0,251.75,397.0
390.25,171.0,383.0
408.25,282.25,272.0
288.5,266.5,181.0
271.25,338.0,181.0
195.0,175.5,144.5
103.5,64.25,106.5
99.75,102.25,86.5
123.25,152.0,81.5
112.0,156.5,98.5
139.25,152.0,206.0
187.5,127.0,300.5
255.75,136.25,309.0
293.0,166.0,306.5
338.0,234.5,309.0
315.5,248.0,349.5
301.0,210.75,374.5
319.25,208.5,353.5
330.25,182.25,327.5
297.25,183.5,301.5
261.75,199.5,276.0
240.75,216.0,247.0
233.0,219.5,220.0
231.25,224.5,208.5
232.25,196.0,214.0
224.0,153.25,187.5
136.0,128.75,145.5
130.25,115.5,119.5
114.25,109.0,111.5
107.75,91.75,93.5
81.5,84.75,80.5
92.5,81.75,91.0
83.25,67.75,81.5
73.75,46.25,65.5
56.75,48.0,50.0
43.5,50.75,41.5
42.0,50.5,41.5
45.5,52.75,43.5
50.5,54.5,50.0
51.5,53.5,50.0
51.5,32.0,37.0
26.0,23.0,13.5
18.25,17.5,5.5
22.5,16.75,26.0
35.0,32.0,43.0
41.25,42.75,36.5
39.0,39.0,37.5
33.75,46.25,45.0
46.75,63.75,47.0
51.5,52.25,52.0
52.25,56.75,54.5
58.75,60.0,62.5
59.0,64.25,66.5
56.0,70.75,59.0
34.5,82.75,60.0
24.25,91.75,59.0
24.25,83.25,51.5
25.5,81.25,52.0
37.5,87.0,69.5
48.5,74.5,72.5
67.0,73.5,54.0
65.25,73.25,48.5
58.5,68.25,51.0
59.75,65.25,56.5
54.0,62.75,63.0
66.5,68.5,60.5
82.5,93.75,63.0
93.0,114.5,95.5
138.0,124.75,150.5
212.5,120.5,250.0
233.5,121.5,272.5
180.0,164.25,191.0
117.0,140.0,138.0
82.5,97.75,113.0
63.0,116.75,94.25
57.0,109.5,66.25
58.0,99.25,60.25
69.5,124.75,65.0
124.0,203.25,93.75
171.5,211.25,130.75
168.5,201.0,172.75
165.0,214.5,172.0
206.5,224.5,162.75
132.5,150.75,129.0
147.0,131.25,136.75
128.5,130.25,128.75
90.0,136.5,144.0
89.0,150.0,148.5
102.5,173.5,154.25
129.0,187.0,155.0
132.5,167.5,140.25
102.0,130.25,117.5
49.0,75.5,65.75
47.5,78.0,61.75
66.0,67.25,81.5
80.5,89.5,105.5
60.5,92.5,68.5
63.0,70.5,67.25
66.0,72.75,59.0
68.0,60.25,54.25
63.0,50.5,47.25
43.0,31.5,44.0
50.25,36.75,53.0
50.5,39.75,64.5
65.0,41.5,70.0
62.75,42.5,61.75
74.75,54.5,56.75
84.75,66.75,83.0
107.25,65.5,137.5
98.75,73.0,109.0
79.25,75.5,100.25
78.75,76.75,99.5
82.5,56.0,88.25
78.0,53.25,62.25
55.75,60.5,42.75
46.5,59.0,43.0
57.25,94.5,75.0
88.0,148.25,109.0
106.25,147.0,120.5
133.5,139.0,140.0
121.5,154.0,117.25
116.0,133.75,104.0
121.25,123.0,105.75
113.75,108.25,100.0
200.0,227.5,169.25
172.0,170.5,170.75
122.5,125.5,120.75
83.5,90.25,92.75
57.0,77.5,68.5
49.25,64.25,57.0
59.25,38.5,68.75
49.75,51.0,56.75
46.0,89.25,54.25
54.75,108.5,75.25
94.25,123.0,120.0
149.25,133.5,178.75
195.0,130.75,174.5
155.5,137.0,164.75
158.0,137.5,138.75
154.25,129.25,136.25
135.25,128.25,140.75
151.75,144.25,134.0
139.0,173.75,134.5
167.0,208.75,143.75
182.5,186.25,168.75
189.5,174.0,179.0
211.75,170.5,193.75
213.25,168.75,192.25
151.0,154.0,174.25
98.0,101.25,118.25
68.25,64.5,86.0
48.75,48.75,62.25
42.5,41.25,45.25
50.25,40.25,48.5
67.75,47.75,58.0
