actual,prediction
33.2,42.37
31.18,38.3
29.8,35.75
30.7,44.98
29.0,52.08
31.9,52.8
27.8,55.42
26.62,46.38
27.42,36.55
24.58,39.88
23.52,41.65
22.9,39.35
22.55,38.65
23.92,40.35
23.82,38.6
24.67,39.2
24.08,39.48
25.98,52.42
30.05,56.22
37.4,54.18
38.35,49.9
39.33,48.62
38.02,47.92
36.1,43.38
29.38,39.85
29.62,46.12
28.8,33.15
26.1,25.2
25.62,26.45
25.85,30.95
26.5,39.88
28.0,38.42
28.68,31.35
28.22,36.05
27.72,36.25
29.6,35.15
32.42,39.45
34.42,46.88
35.38,46.8
34.38,53.62
34.75,54.25
40.28,62.75
47.95,57.55
51.08,47.68
46.45,46.18
46.03,45.08
41.75,42.28
40.0,42.25
39.0,36.98
35.25,31.3
35.4,26.75
38.48,23.0
35.7,19.5
44.23,20.27
44.03,23.38
39.7,32.2
37.3,39.9
36.42,46.22
39.6,59.98
45.55,77.7
49.35,95.65
51.1,105.1
54.32,96.5
49.15,72.3
47.9,61.3
60.15,73.1
59.72,84.82
65.55,68.8
70.33,48.3
63.45,43.3
61.0,42.12
63.28,39.88
58.25,31.07
63.8,34.05
65.0,40.3
67.55,36.85
63.53,35.72
63.25,37.9
63.12,37.75
63.38,36.7
58.88,36.0
60.38,43.5
62.78,65.7
74.0,103.52
74.43,98.98
74.9,84.68
69.8,79.18
66.92,77.6
66.82,70.78
68.0,69.48
70.68,69.3
91.62,59.55
93.9,54.82
88.78,56.42
85.38,54.7
80.35,48.38
74.05,40.53
71.28,37.2
70.6,33.3
68.52,33.4
64.62,29.8
62.1,33.62
62.53,35.4
63.75,33.15
64.38,30.5
69.68,30.08
72.7,29.4
65.05,30.45
65.92,32.55
64.3,41.75
61.97,43.25
59.85,45.75
59.3,46.25
60.0,57.65
64.68,59.62
71.95,53.62
72.85,44.72
70.1,46.08
62.35,41.88
57.25,36.17
57.05,28.78
61.18,33.22
65.6,32.85
65.65,37.12
62.75,38.98
59.08,32.33
58.78,32.05
59.3,41.42
59.95,41.82
59.7,44.62
60.32,40.33
56.9,40.92
62.65,48.03
59.38,53.25
54.45,49.2
47.6,43.28
49.08,41.02
51.72,39.9
57.38,43.68
54.68,42.18
53.3,42.1
46.22,44.92
42.2,37.9
40.08,29.1
41.12,25.17
39.9,25.52
39.6,24.1
39.52,25.3
38.68,24.38
38.53,23.5
37.75,26.35
39.08,27.8
40.83,27.85
40.95,29.7
41.82,32.12
44.22,34.85
46.47,31.75
46.2,34.45
43.6,36.05
43.52,35.28
45.2,35.0
49.08,49.95
58.15,56.02
60.22,49.45
68.7,43.32
68.15,49.52
63.45,48.6
60.32,40.0
59.65,31.6
61.58,34.65
48.75,39.5
44.45,35.2
43.05,39.55
44.28,51.58
47.62,51.95
47.8,56.08
50.18,49.6
58.78,39.72
49.8,35.95
44.3,32.25
43.7,32.5
42.28,32.88
41.4,35.17
43.2,31.55
55.38,63.28
65.8,85.68
101.18,89.2
106.35,83.75
99.12,77.97
93.7,66.75
77.6,59.47
72.92,42.0
62.02,40.25
53.1,48.9
58.28,53.98
56.95,48.38
53.22,31.62
50.4,35.28
51.4,50.15
50.68,56.58
87.72,84.75
99.75,77.52
75.85,77.42
71.55,65.82
66.15,71.25
55.55,77.65
53.65,76.5
53.92,82.1
55.68,94.85
64.35,86.72
74.48,70.65
93.18,57.1
77.65,43.8
71.18,39.15
64.43,33.8
57.65,30.68
57.32,26.88
55.8,25.5
58.3,23.42
57.53,30.32
63.0,43.6
62.55,39.58
60.3,40.2
60.23,38.17
64.2,41.92
67.85,50.85
79.92,60.9
69.25,50.18
71.58,50.75
75.42,49.18
76.5,51.6
83.58,47.45
72.53,57.65
62.85,59.02
70.05,56.3
70.42,47.6
65.15,51.55
60.22,44.62
59.02,51.28
63.53,41.4
65.78,34.95
64.8,31.3
66.82,28.15
63.68,27.4
55.03,28.72
52.45,32.7
52.7,36.3
58.4,32.25
61.82,36.3
67.18,35.75
72.4,36.12
71.47,38.38
55.92,38.35
55.03,35.65
56.75,36.62
60.32,47.78
62.07,55.9
56.5,53.82
53.55,60.0
46.08,63.65
44.92,59.58
42.92,52.92
57.3,47.85
59.2,47.45
53.7,38.2
46.8,33.05
46.05,32.92
43.08,23.28
49.22,30.05
49.78,34.02
53.05,42.05
52.4,38.47
62.88,40.2
67.55,48.85
61.2,42.12
58.2,57.62
47.8,42.78
41.82,41.48
40.45,37.12
39.22,34.1
41.88,38.8
45.7,47.82
55.72,50.0
62.75,52.92
61.18,57.62
59.85,54.62
52.12,46.55
48.4,36.35
46.18,37.28
43.7,31.35
43.18,28.05
38.92,26.1
38.38,32.95
38.1,36.85
38.35,30.58
38.83,30.1
39.65,31.18
44.1,28.08
42.92,27.95
40.5,30.5
42.05,35.6
41.85,36.25
41.58,38.12
41.15,33.95
46.22,42.3
52.95,49.9
59.32,57.52
57.22,50.0
54.7,48.85
51.6,47.68
56.38,44.08
50.85,42.05
47.9,42.25
46.1,35.4
48.38,41.58
46.78,30.02
45.15,28.35
42.28,30.62
41.6,33.15
44.4,32.6
44.52,35.48
48.82,35.45
43.85,29.08
44.47,32.85
45.65,39.22
43.4,41.75
58.52,56.9
65.1,57.15
59.85,50.25
55.02,46.0
54.98,42.28
53.28,48.58
48.25,54.8
49.62,50.9
58.1,44.75
58.3,45.08
55.62,40.28
53.58,36.1
54.82,34.65
51.65,34.12
49.8,31.05
51.98,27.15
50.15,34.02
47.92,36.65
44.2,40.98
41.6,41.42
44.18,38.85
49.6,38.8
52.12,42.45
51.02,42.38
64.12,46.47
56.42,41.0
58.53,42.25
58.9,33.55
53.95,51.55
49.32,59.15
62.6,51.9
80.82,43.52
74.72,52.3
67.25,54.58
63.35,53.92
54.08,39.15
54.8,38.3
51.6,44.4
37.33,49.98
38.8,47.0
38.83,47.45
37.78,42.48
36.38,51.53
41.1,63.1
45.58,69.53
42.35,64.27
41.92,64.55
42.78,58.5
45.78,58.5
43.28,40.25
41.18,44.55
40.2,38.05
39.3,36.75
39.53,45.48
38.1,37.08
38.0,40.8
37.7,58.62
37.48,50.65
39.52,49.22
38.7,50.2
37.12,64.08
38.65,55.4
45.9,66.18
43.08,63.12
40.5,72.6
38.02,78.1
44.03,90.12
45.82,107.65
51.18,100.22
57.12,85.82
60.15,72.2
66.82,73.12
62.2,59.82
55.2,46.2
54.03,46.2
52.6,45.9
50.58,40.95
45.95,37.3
43.7,38.95
46.58,37.05
45.1,41.65
44.32,39.53
50.05,102.85
56.6,159.28
46.5,141.3
43.88,107.8
52.15,90.9
47.12,56.5
47.0,58.18
44.0,61.3
43.62,92.75
48.3,106.22
101.55,95.85
97.58,78.45
90.22,85.38
75.2,76.9
69.12,92.75
57.45,79.68
54.92,77.1
55.3,71.55
57.08,60.08
54.3,56.15
54.1,68.93
53.9,73.58
52.65,62.92
56.88,57.3
57.0,62.58
49.15,70.85
44.82,52.8
40.3,47.68
38.4,49.28
37.5,46.4
38.3,51.45
39.0,49.9
45.82,65.82
51.68,112.9
55.45,109.18
