actual,prediction
33.2,23.03
31.18,20.67
29.8,18.9
30.7,20.8
29.0,21.75
31.9,23.2
27.8,22.52
26.62,23.67
27.42,23.72
24.58,19.9
23.52,19.42
22.9,18.75
22.55,19.75
23.92,22.25
23.82,21.22
24.67,23.9
24.08,24.65
25.98,21.0
30.05,18.73
37.4,21.0
38.35,21.68
39.33,23.1
38.02,26.15
36.1,25.62
29.38,24.22
29.62,20.25
28.8,19.2
26.1,19.62
25.62,18.4
25.85,20.92
26.5,20.82
28.0,23.35
28.68,23.6
28.22,20.92
27.72,20.8
29.6,20.62
32.42,19.95
34.42,21.82
35.38,24.65
34.38,24.3
34.75,26.8
40.28,25.02
47.95,22.58
51.08,20.83
46.45,20.52
46.03,25.17
41.75,24.02
40.0,23.85
39.0,24.9
35.25,21.33
35.4,16.8
38.48,19.8
35.7,21.88
44.23,23.85
44.03,23.72
39.7,23.95
37.3,23.63
36.42,22.38
39.6,19.55
45.55,20.0
49.35,23.92
51.1,25.85
54.32,28.92
49.15,28.95
47.9,27.38
60.15,25.9
59.72,22.83
65.55,24.25
70.33,20.55
63.45,18.48
61.0,22.5
63.28,23.05
58.25,25.5
63.8,21.85
65.0,19.4
67.55,20.2
63.53,20.38
63.25,21.65
63.12,23.2
63.38,25.15
58.88,26.78
60.38,21.62
62.78,19.5
74.0,19.32
74.43,22.2
74.9,25.1
69.8,30.4
66.92,33.85
66.82,33.15
68.0,26.65
70.68,24.05
91.62,22.92
93.9,22.45
88.78,23.98
85.38,26.78
80.35,25.6
74.05,25.78
71.28,22.8
70.6,18.7
68.52,21.42
64.62,21.6
62.1,23.7
62.53,26.08
63.75,25.12
64.38,27.33
69.68,21.65
72.7,21.15
65.05,24.12
65.92,26.6
64.3,31.48
61.97,35.83
59.85,32.88
59.3,35.78
60.0,34.18
64.68,27.85
71.95,23.9
72.85,23.48
70.1,23.28
62.35,27.72
57.25,23.6
57.05,26.57
61.18,24.88
65.6,20.6
65.65,20.82
62.75,21.62
59.08,22.1
58.78,23.4
59.3,26.6
59.95,27.92
59.7,23.78
60.32,20.72
56.9,21.35
62.65,23.02
59.38,23.28
54.45,25.28
47.6,26.22
49.08,29.8
51.72,25.08
57.38,22.62
54.68,21.62
53.3,20.78
46.22,20.52
42.2,23.28
40.08,26.08
41.12,28.72
39.9,23.7
39.6,19.3
39.52,19.55
38.68,17.95
38.53,21.1
37.75,24.05
39.08,27.5
40.83,28.85
40.95,24.98
41.82,20.4
44.22,20.62
46.47,19.08
46.2,21.75
43.6,24.32
43.52,28.75
45.2,30.42
49.08,29.92
58.15,22.25
60.22,19.77
68.7,18.02
68.15,21.52
63.45,26.75
60.32,28.55
59.65,31.05
61.58,30.52
48.75,19.05
44.45,19.32
43.05,20.5
44.28,26.5
47.62,27.8
47.8,29.55
50.18,29.08
58.78,21.0
49.8,21.08
44.3,22.82
43.7,22.2
42.28,20.45
41.4,22.75
43.2,22.12
55.38,24.7
65.8,23.32
101.18,24.8
106.35,26.83
99.12,25.38
93.7,23.35
77.6,21.35
72.92,21.28
62.02,19.45
53.1,12.7
58.28,18.42
56.95,19.9
53.22,17.52
50.4,12.35
51.4,17.18
50.68,17.73
87.72,20.72
99.75,24.3
75.85,28.75
71.55,28.22
66.15,27.52
55.55,26.9
53.65,24.85
53.92,25.7
55.68,27.0
64.35,29.05
74.48,27.22
93.18,28.15
77.65,27.35
71.18,27.12
64.43,24.55
57.65,23.2
57.32,22.25
55.8,25.6
58.3,20.23
57.53,21.42
63.0,20.88
62.55,22.22
60.3,22.28
60.23,19.78
64.2,23.48
67.85,26.92
79.92,25.2
69.25,28.32
71.58,27.68
75.42,29.48
76.5,29.08
83.58,30.52
72.53,29.3
62.85,27.1
70.05,27.98
70.42,26.58
65.15,23.92
60.22,25.35
59.02,23.85
63.53,21.25
65.78,18.88
64.8,20.8
66.82,20.58
63.68,22.82
55.03,23.98
52.45,23.83
52.7,21.42
58.4,23.02
61.82,22.48
67.18,23.48
72.4,27.68
71.47,28.5
55.92,27.58
55.03,29.85
56.75,27.9
60.32,25.88
62.07,24.85
56.5,22.9
53.55,23.55
46.08,23.5
44.92,21.75
42.92,21.42
57.3,22.4
59.2,21.9
53.7,19.05
46.8,23.7
46.05,24.42
43.08,21.2
49.22,21.02
49.78,22.58
53.05,19.48
52.4,21.05
62.88,22.78
67.55,21.8
61.2,24.92
58.2,23.87
47.8,23.05
41.82,23.82
40.45,22.62
39.22,22.42
41.88,23.15
45.7,22.85
55.72,21.92
62.75,23.55
61.18,23.12
59.85,21.9
52.12,22.0
48.4,20.25
46.18,19.82
43.7,18.4
43.18,20.45
38.92,19.62
38.38,18.2
38.1,18.75
38.35,19.25
38.83,19.52
39.65,20.25
44.1,21.6
42.92,21.32
40.5,21.58
42.05,20.68
41.85,22.32
41.58,22.78
41.15,22.65
46.22,21.28
52.95,21.35
59.32,23.18
57.22,23.25
54.7,22.02
51.6,20.1
56.38,20.52
50.85,19.32
47.9,19.1
46.1,16.1
48.38,19.88
46.78,20.12
45.15,18.83
42.28,20.72
41.6,19.77
44.4,17.7
44.52,19.83
48.82,17.98
43.85,21.35
44.47,21.88
45.65,21.38
43.4,23.55
58.52,23.67
65.1,27.52
59.85,26.15
55.02,26.45
54.98,26.5
53.28,25.88
48.25,24.92
49.62,25.33
58.1,23.05
58.3,22.85
55.62,19.1
53.58,21.38
54.82,23.15
51.65,21.45
49.8,20.9
51.98,20.27
50.15,21.3
47.92,20.72
44.2,21.7
41.6,21.85
44.18,20.7
49.6,20.75
52.12,20.7
51.02,21.42
64.12,25.0
56.42,27.58
58.53,27.85
58.9,26.85
53.95,25.28
49.32,25.98
62.6,28.8
80.82,28.9
74.72,28.3
67.25,24.92
63.35,23.58
54.08,23.32
54.8,19.9
51.6,22.0
37.33,22.62
38.8,23.6
38.83,22.17
37.78,22.38
36.38,22.48
41.1,19.53
45.58,20.23
42.35,19.25
41.92,19.85
42.78,18.72
45.78,17.48
43.28,17.73
41.18,17.42
40.2,16.0
39.3,19.08
39.53,19.95
38.1,19.4
38.0,18.97
37.7,19.92
37.48,18.98
39.52,19.42
38.7,18.75
37.12,19.8
38.65,22.0
45.9,24.15
43.08,22.3
40.5,24.08
38.02,22.42
44.03,24.08
45.82,25.75
51.18,26.42
57.12,23.85
60.15,22.98
66.82,23.17
62.2,20.68
55.2,21.1
54.03,22.3
52.6,18.1
50.58,20.8
45.95,21.72
43.7,18.55
46.58,19.0
45.1,17.45
44.32,19.17
50.05,20.88
56.6,24.4
46.5,27.2
43.88,31.68
52.15,30.18
47.12,28.25
47.0,27.7
44.0,27.48
43.62,27.67
48.3,28.88
101.55,28.6
97.58,27.28
90.22,25.55
75.2,24.55
69.12,24.22
57.45,22.62
54.92,21.58
55.3,21.8
57.08,22.32
54.3,21.22
54.1,20.0
53.9,20.5
52.65,19.3
56.88,20.4
57.0,21.15
49.15,21.4
44.82,22.68
40.3,23.0
38.4,22.6
37.5,24.18
38.3,22.88
39.0,24.43
45.82,24.12
51.68,26.6
55.45,25.32
54.08,25.9
64.03,25.48
64.48,24.55
60.0,23.15
54.35,21.5
48.72,20.5
45.4,20.0
47.78,19.7
44.45,19.23
47.0,20.68
51.18,21.28
53.38,19.05
55.15,20.92
54.65,21.72
46.68,20.58
43.58,23.15
41.9,22.35
40.1,23.25
39.9,24.12
43.12,24.22
44.88,23.5
47.2,24.75
51.9,24.52
65.05,24.52
63.72,22.82
61.52,23.5
64.82,22.38
70.47,22.1
67.35,21.15
58.72,20.58
55.9,19.6
52.42,20.3
53.92,21.95
53.22,19.02
53.4,18.52
55.55,19.88
64.65,21.45
53.85,22.48
52.42,25.38
44.75,25.33
39.83,23.28
39.88,22.83
40.78,22.42
41.58,23.55
46.35,23.3
72.97,24.3
101.7,26.5
91.78,25.85
80.9,26.18
77.6,26.12
77.85,22.8
71.97,23.5
84.4,23.18
73.7,19.7
64.18,23.52
59.2,23.25
55.55,21.08
53.52,21.82
55.5,20.78
75.25,21.68
61.72,22.35
51.58,24.35
37.33,24.75
35.22,24.95
34.7,24.0
34.78,22.3
35.67,23.9
39.58,24.45
48.12,24.45
64.3,22.7
54.15,22.08
60.45,24.45
65.93,22.38
59.28,20.47
57.52,20.95
57.38,18.77
56.9,16.1
54.12,20.0
54.8,19.02
50.75,19.7
47.4,19.1
48.12,20.1
49.4,20.0
48.8,20.08
43.8,22.25
42.88,21.67
40.85,22.1
36.88,22.55
36.03,21.32
36.28,22.05
38.45,21.02
44.68,22.52
55.85,21.1
61.72,21.2
63.65,22.0
71.03,22.45
58.62,20.22
55.65,20.05
53.52,19.88
49.28,18.42
47.3,18.3
46.47,19.08
46.6,19.12
47.08,17.17
51.32,18.73
50.4,17.0
49.72,18.92
45.9,19.32
42.55,20.1
38.05,19.65
40.28,23.1
38.2,22.5
35.38,20.2
36.95,19.9
38.47,20.42
43.55,20.7
54.72,23.12
67.72,22.75
84.92,23.9
88.2,25.0
77.07,23.98
65.25,23.22
59.2,21.85
56.0,21.35
55.9,19.9
58.65,19.92
58.95,19.75
58.85,20.52
57.92,19.78
61.28,20.15
58.52,18.4
49.72,18.55
42.5,20.35
39.95,21.5
39.95,21.2
36.45,21.4
45.92,22.08
59.38,23.58
64.85,21.92
61.2,20.78
87.52,21.4
125.18,21.98
127.78,28.02
100.25,24.78
77.98,23.8
74.53,22.0
74.3,23.45
82.82,22.52
87.3,22.2
95.18,21.62
73.35,21.12
55.92,20.25
61.03,20.7
76.65,21.95
90.78,19.12
102.95,22.48
87.15,22.93
97.02,23.4
104.78,22.45
73.85,11.35
65.75,13.55
72.07,13.7
86.62,13.45
83.32,12.25
71.28,11.05
70.8,11.08
68.58,9.55
77.7,8.6
96.2,12.1
104.15,11.85
126.55,9.82
133.93,11.38
53.6,13.7
55.2,13.92
54.35,15.1
23.63,13.92
27.2,15.08
28.1,13.25
33.6,13.6
40.6,12.52
79.45,12.42
97.9,14.28
103.7,12.92
103.07,13.2
93.18,11.2
96.12,11.82
102.52,10.58
98.4,10.2
67.0,8.88
54.62,9.08
51.45,8.45
50.8,8.33
61.48,13.25
55.72,11.18
64.78,11.95
79.18,13.68
102.78,17.95
64.42,21.6
52.15,32.5
47.92,34.85
44.45,33.7
45.82,35.52
50.95,34.12
58.78,24.65
62.65,16.2
59.55,13.32
65.5,13.55
69.85,12.8
57.75,12.25
51.18,12.38
51.5,13.4
44.1,14.48
44.3,12.55
45.18,13.08
40.97,13.58
39.2,11.38
38.83,12.73
50.1,12.37
54.12,13.65
56.0,17.38
44.8,17.32
38.05,17.45
43.42,22.9
52.88,29.9
65.77,32.15
82.02,34.95
110.5,35.58
160.37,31.28
67.7,21.12
42.85,24.58
36.85,31.95
35.2,32.6
36.82,25.8
40.55,17.47
45.7,12.62
57.03,10.38
61.38,9.82
54.5,9.43
50.6,8.35
56.6,7.25
60.43,10.23
55.42,8.88
56.2,8.4
53.12,6.78
54.0,7.43
48.92,8.75
48.65,7.48
48.05,8.45
43.35,8.57
43.68,7.25
58.75,7.2
63.62,7.82
64.32,10.82
48.92,11.82
44.02,11.77
36.78,12.75
36.05,11.55
36.95,9.28
37.5,10.62
45.68,10.35
62.08,9.85
52.1,10.62
48.7,9.95
42.55,10.4
37.55,9.43
39.43,8.15
45.6,8.6
42.78,9.12
40.33,6.95
37.42,7.72
33.08,7.62
31.78,8.18
32.42,8.4
32.98,7.22
34.02,6.88
31.38,7.5
32.05,8.8
30.4,8.45
29.98,9.2
29.85,8.95
30.12,9.12
32.75,7.85
41.8,8.95
49.88,9.58
52.25,7.0
50.82,7.5
46.88,5.8
44.0,7.05
41.72,7.15
37.2,7.72
35.2,6.0
34.4,6.8
37.85,6.57
41.58,7.95
42.08,6.5
38.35,7.2
34.88,6.22
35.65,6.85
34.53,9.15
36.62,9.05
34.42,10.3
30.35,9.07
27.1,9.7
