feature_time,neighbor__124,neighbor__1421,neighbor__1426,target_value,prediction_time
2019-01-01 00:00:00,49.08,70.63,44.32,156.9,2019-01-01 00:00:00
2019-01-01 01:00:00,52.18,66.7,30.7,142.12,2019-01-01 01:00:00
2019-01-01 03:00:00,51.48,60.02,41.85,113.48,2019-01-01 03:00:00
2019-01-01 04:00:00,46.3,56.12,34.4,108.18,2019-01-01 04:00:00
2019-01-01 05:00:00,42.53,53.95,38.52,88.02,2019-01-01 05:00:00
2019-01-01 06:00:00,41.27,53.05,43.95,72.75,2019-01-01 06:00:00
2019-01-01 07:00:00,47.35,55.67,49.38,77.95,2019-01-01 07:00:00
2019-01-01 08:00:00,53.0,60.43,57.22,111.57,2019-01-01 08:00:00
2019-01-01 09:00:00,47.25,49.65,60.97,125.4,2019-01-01 09:00:00
2019-01-01 10:00:00,42.53,44.53,46.17,103.22,2019-01-01 10:00:00
2019-01-01 11:00:00,34.18,37.15,33.67,136.67,2019-01-01 11:00:00
2019-01-01 12:00:00,31.32,24.97,14.65,135.55,2019-01-01 12:00:00
2019-01-01 13:00:00,26.8,27.43,7.73,118.12,2019-01-01 13:00:00
2019-01-01 14:00:00,25.57,26.22,6.2,90.47,2019-01-01 14:00:00
2019-01-01 15:00:00,28.22,34.78,14.32,83.77,2019-01-01 15:00:00
2019-01-01 16:00:00,33.02,56.98,42.13,78.75,2019-01-01 16:00:00
2019-01-01 17:00:00,56.07,78.35,62.6,68.92,2019-01-01 17:00:00
2019-01-01 18:00:00,66.32,92.93,92.95,83.43,2019-01-01 18:00:00
2019-01-01 19:00:00,82.28,82.03,106.02,123.65,2019-01-01 19:00:00
2019-01-01 20:00:00,80.82,72.8,101.0,97.23,2019-01-01 20:00:00
2019-01-01 21:00:00,72.05,78.08,97.43,114.25,2019-01-01 21:00:00
2019-01-01 22:00:00,63.47,81.98,94.85,140.85,2019-01-01 22:00:00
2019-01-01 23:00:00,53.6,58.65,93.73,140.8,2019-01-01 23:00:00
2019-01-02 00:00:00,43.75,30.95,75.93,126.82,2019-01-02 00:00:00
2019-01-02 01:00:00,43.02,39.7,76.33,110.75,2019-01-02 01:00:00
2019-01-02 03:00:00,34.07,45.78,60.57,84.0,2019-01-02 03:00:00
2019-01-02 04:00:00,28.0,45.32,45.9,62.85,2019-01-02 04:00:00
2019-01-02 05:00:00,22.15,44.27,50.95,54.88,2019-01-02 05:00:00
2019-01-02 06:00:00,21.0,36.52,52.85,56.73,2019-01-02 06:00:00
2019-01-02 07:00:00,22.67,43.5,54.98,55.38,2019-01-02 07:00:00
2019-01-02 08:00:00,41.5,60.17,59.07,79.3,2019-01-02 08:00:00
2019-01-02 09:00:00,90.52,50.85,84.53,114.2,2019-01-02 09:00:00
2019-01-02 10:00:00,77.05,32.7,67.42,138.55,2019-01-02 10:00:00
2019-01-02 11:00:00,46.88,27.32,126.27,166.92,2019-01-02 11:00:00
2019-01-02 12:00:00,32.72,19.9,91.1,153.92,2019-01-02 12:00:00
2019-01-02 13:00:00,36.85,22.15,82.68,130.83,2019-01-02 13:00:00
2019-01-02 14:00:00,30.78,21.93,52.98,110.4,2019-01-02 14:00:00
2019-01-02 15:00:00,22.95,15.12,51.18,86.2,2019-01-02 15:00:00
2019-01-02 16:00:00,27.42,19.5,103.08,85.08,2019-01-02 16:00:00
2019-01-02 17:00:00,67.0,39.62,144.25,86.1,2019-01-02 17:00:00
2019-01-02 18:00:00,72.6,49.23,126.22,166.53,2019-01-02 18:00:00
2019-01-02 19:00:00,72.6,65.5,127.15,121.67,2019-01-02 19:00:00
2019-01-02 20:00:00,66.82,77.0,116.38,132.1,2019-01-02 20:00:00
2019-01-02 21:00:00,61.8,48.3,107.48,159.97,2019-01-02 21:00:00
2019-01-02 22:00:00,64.25,29.08,82.1,178.92,2019-01-02 22:00:00
2019-01-02 23:00:00,51.33,22.6,85.15,193.55,2019-01-02 23:00:00
2019-01-03 00:00:00,38.3,53.08,63.1,173.4,2019-01-03 00:00:00
