neighbor__124,neighbor__1421,neighbor__1426
46.38,23.98,14.02
49.08,19.25,22.38
47.98,20.6,20.27
46.7,26.4,20.72
47.62,35.02,18.92
40.8,42.98,12.45
40.8,44.82,12.7
39.28,43.3,11.77
35.58,37.4,6.82
33.17,31.85,7.65
34.7,31.6,10.18
36.83,32.88,13.62
40.0,39.72,19.2
51.6,50.75,38.88
67.15,76.55,66.03
69.12,95.48,65.68
73.28,99.35,63.02
68.32,85.5,64.18
63.13,72.5,56.9
60.85,65.62,52.7
51.82,60.05,44.28
40.92,58.38,42.1
32.35,46.35,46.58
27.5,50.08,42.88
24.85,60.65,18.5
23.5,58.62,43.6
75.9,33.4,38.65
81.6,35.72,53.9
65.97,37.92,66.18
63.78,36.6,67.8
81.42,37.43,52.58
81.1,39.25,46.42
95.25,58.92,57.82
100.7,97.3,105.1
96.82,93.2,104.52
91.22,97.42,97.65
79.12,95.05,119.1
63.15,62.32,101.3
56.55,47.32,99.5
49.65,38.33,85.68
37.6,71.25,74.32
31.62,70.95,49.32
30.05,70.78,49.22
30.95,57.0,41.92
31.52,54.32,44.1
43.98,59.6,40.35
73.62,110.15,66.72
149.07,149.98,65.45
79.82,108.78,32.3
67.95,98.98,14.95
63.38,92.28,12.08
45.1,58.65,13.12
49.4,66.2,32.32
85.58,111.52,66.55
110.05,124.93,79.2
109.52,139.5,71.53
103.95,124.9,70.2
86.95,150.88,64.9
82.88,111.98,55.97
63.38,90.3,40.95
54.78,81.18,30.42
57.88,72.38,28.3
46.62,64.03,23.45
56.32,60.92,28.83
60.75,51.98,32.9
53.88,50.5,28.8
55.18,47.03,19.3
55.55,55.5,21.72
76.0,72.32,26.0
81.7,57.6,27.58
58.8,48.88,21.65
46.22,44.45,18.5
39.53,38.0,15.78
37.05,34.98,14.0
34.78,32.4,15.18
35.8,39.92,31.55
64.2,77.5,70.12
85.52,102.08,84.6
89.0,115.25,78.8
92.08,110.02,78.03
79.03,95.35,73.4
79.43,81.4,62.82
76.75,79.5,54.7
72.05,74.98,47.15
55.97,73.38,46.55
46.28,58.4,34.22
42.62,54.95,34.2
50.3,50.35,38.7
57.7,50.02,44.0
59.88,57.32,47.32
76.05,62.78,60.95
81.55,62.2,41.7
55.52,60.45,26.5
43.08,59.12,11.68
37.88,40.88,7.62
41.52,38.12,8.38
42.68,35.75,11.7
43.55,48.05,11.7
52.28,56.02,32.8
76.22,76.95,80.62
91.52,65.0,88.4
101.55,84.95,98.72
97.32,95.48,92.78
94.28,111.12,91.48
82.48,123.7,96.12
66.68,117.95,104.4
70.18,81.07,79.4
66.25,50.75,63.88
40.93,57.42,68.85
36.9,69.82,62.5
35.4,68.88,47.78
35.62,67.3,43.3
39.33,76.92,54.53
72.3,87.15,107.08
99.3,38.95,108.7
96.08,69.75,107.57
74.18,45.58,79.43
46.7,74.9,94.45
31.5,43.28,54.32
31.55,21.42,27.18
30.7,28.02,20.2
57.2,32.78,40.17
68.45,48.75,78.32
82.55,81.47,107.45
95.1,31.3,118.62
96.2,30.2,128.4
85.85,48.18,134.2
70.72,69.4,122.55
64.05,66.53,123.28
56.75,55.62,116.55
50.58,49.45,90.82
39.25,37.53,66.75
43.45,34.75,66.12
41.7,39.25,61.75
42.6,44.0,50.28
52.98,39.52,40.78
62.95,40.98,28.72
58.1,32.08,32.65
44.78,19.2,47.82
35.9,14.68,63.82
46.78,14.35,27.17
53.32,20.38,60.22
51.08,20.3,59.3
56.92,25.12,60.18
51.8,30.72,61.53
45.62,18.88,49.4
48.48,15.62,22.8
42.85,12.8,20.25
36.17,14.7,41.42
34.72,14.75,38.62
50.55,25.32,31.3
44.88,28.08,15.77
34.2,11.98,29.72
33.65,11.38,6.02
18.92,8.95,8.85
20.28,11.1,17.45
30.02,14.95,30.98
38.88,13.75,26.7
34.75,19.2,25.83
26.6,19.15,44.38
36.33,14.85,50.22
26.72,28.25,36.5
24.58,16.58,37.98
26.52,9.1,48.85
35.97,10.38,35.4
37.43,8.32,25.22
52.4,8.8,11.82
56.78,28.48,15.68
49.08,52.58,18.12
40.83,44.15,15.2
40.33,43.22,28.92
41.88,41.8,34.0
42.6,46.03,34.3
40.8,36.6,37.22
34.45,33.58,24.67
31.3,26.75,19.5
20.95,27.9,14.58
20.12,26.12,15.15
20.5,20.25,13.48
25.32,19.68,21.2
37.5,26.85,23.92
44.25,40.33,27.85
69.75,71.42,36.9
67.97,74.32,22.35
65.8,94.9,7.18
61.3,76.05,8.7
62.55,33.75,14.82
52.25,27.28,11.6
42.88,30.75,10.73
54.58,41.32,18.42
66.53,80.12,55.65
66.45,92.18,62.42
58.38,82.68,51.4
56.4,71.65,53.22
55.1,74.8,46.7
41.92,70.6,44.97
33.35,55.25,46.35
43.55,41.97,34.95
38.67,39.7,32.08
34.6,33.92,34.92
33.62,32.98,33.6
33.83,31.65,34.85
38.88,44.82,29.75
52.6,55.2,24.33
67.53,41.55,9.32
59.48,19.35,2.12
55.38,16.92,5.12
41.1,24.0,9.9
64.3,47.38,32.95
68.42,64.92,14.62
55.18,45.25,11.32
55.62,39.8,11.52
47.25,33.62,5.35
40.95,16.53,8.48
43.1,16.88,1.45
36.33,21.9,3.78
36.4,25.15,21.5
41.7,24.5,24.2
49.72,29.22,22.5
50.25,40.4,26.65
56.12,40.58,15.5
52.97,39.9,10.35
54.12,47.58,20.08
54.38,49.3,18.48
49.5,30.98,20.0
43.95,24.15,24.82
39.35,27.32,16.2
33.67,32.85,8.62
30.75,34.62,9.35
39.3,45.03,28.67
65.7,68.05,31.95
69.85,75.4,32.55
66.8,77.77,40.35
64.8,64.88,26.25
61.92,60.02,19.12
60.48,59.85,28.6
59.4,55.78,13.55
53.9,52.85,6.57
34.45,33.45,10.9
32.35,32.25,2.25
30.12,30.62,2.25
30.55,29.98,0.7
30.05,28.42,2.97
31.38,22.7,2.88
29.0,21.35,4.2
26.88,27.75,6.6
32.3,42.03,29.18
54.95,68.25,45.55
60.45,74.68,40.4
58.6,66.82,36.5
61.47,70.18,32.5
59.55,66.72,19.82
54.95,60.9,21.25
48.58,53.15,15.92
47.38,47.05,13.9
43.52,38.32,11.78
45.3,31.22,11.28
44.65,39.85,18.95
42.42,39.15,20.75
46.22,47.7,26.12
49.65,49.68,17.08
50.65,55.95,10.88
